Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bangladesh,BGD,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0
Belarus,BLR,Child malnutrition,5.51.01.02.malnut,0,0,0,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0
Belarus,BLR,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Gender equality,5.51.01.07.gender,0.33333,0,0,0,0,0,0.33333,0.33333,0.66667,0.66667,1,1,1,1,1,1,1
Belarus,BLR,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,BLR,UNESCO reporting,5.12.01.01.unesco,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,BLZ,Child malnutrition,5.51.01.02.malnut,..,0,0,0,0,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,0.66667
Belize,BLZ,Child mortality,5.51.01.03.mortal,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,BLZ,Gender equality,5.51.01.07.gender,..,1,0.66667,0.66667,0.33333,0.33333,0,0,0,0,1,1,1,1,1,1,1
Belize,BLZ,Immunization,5.51.01.04.immun,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,BLZ,Population census,3.11.01.01.popcen,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,BLZ,Poverty survey,5.14.01.01.povsurv,..,1,1,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Belize,BLZ,UNESCO reporting,5.12.01.01.unesco,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,BEN,Child malnutrition,5.51.01.02.malnut,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667
Benin,BEN,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,BEN,Gender equality,5.51.01.07.gender,0.66667,1,1,1,0.66667,0.66667,0.33333,0.33333,0,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667
Benin,BEN,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,BEN,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,BEN,Poverty survey,5.14.01.01.povsurv,0.5,0.5,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,BEN,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,Child malnutrition,5.51.01.02.malnut,..,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Bhutan,BTN,Child mortality,5.51.01.03.mortal,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,Gender equality,5.51.01.07.gender,..,0.66667,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,1,1,1,0.66667,1,1,1
Bhutan,BTN,Immunization,5.51.01.04.immun,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,Population census,3.11.01.01.popcen,..,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,Poverty survey,5.14.01.01.povsurv,..,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,UNESCO reporting,5.12.01.01.unesco,..,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,BOL,Child malnutrition,5.51.01.02.malnut,1,1,0.66667,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,1,1,1
Bolivia,BOL,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,BOL,Gender equality,5.51.01.07.gender,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667,1,0,1,1,1,1
Bolivia,BOL,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,BOL,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,BOL,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,BOL,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Child malnutrition,5.51.01.02.malnut,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333
Bosnia and Herzegovina,BIH,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Gender equality,5.51.01.07.gender,0,0,0,0,0,0.33333,0.33333,0.66667,0.66667,1,0,0,0.66667,0,0,0,0
Bosnia and Herzegovina,BIH,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Population census,3.11.01.01.popcen,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0.5,0.5
Bosnia and Herzegovina,BIH,UNESCO reporting,5.12.01.01.unesco,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Botswana,BWA,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333
Botswana,BWA,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,BWA,Gender equality,5.51.01.07.gender,1,1,1,1,1,1,1,0.66667,0.66667,0.33333,0.33333,0,0.33333,0,0,0,0
Botswana,BWA,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,BWA,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,BWA,Poverty survey,5.14.01.01.povsurv,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0,0,0,1,1,1
Botswana,BWA,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
Brazil,BRA,Child malnutrition,5.51.01.02.malnut,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333
Brazil,BRA,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,BRA,Gender equality,5.51.01.07.gender,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0,0,0,0,0.66667,1,1,1,0
Brazil,BRA,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,BRA,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,BRA,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,BRA,UNESCO reporting,5.12.01.01.unesco,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Bulgaria,BGR,Child malnutrition,5.51.01.02.malnut,0,0,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,0.66667
Bulgaria,BGR,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,BGR,Gender equality,5.51.01.07.gender,1,1,1,1,1,1,1,1,1,0.66667,1,1,1,1,1,0.66667,1
Bulgaria,BGR,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,BGR,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,BGR,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,BGR,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,BFA,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,BFA,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,BFA,Gender equality,5.51.01.07.gender,0.66667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,BFA,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,BFA,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Burkina Faso,BFA,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,BFA,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burundi,BDI,Child malnutrition,5.51.01.02.malnut,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1
Burundi,BDI,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burundi,BDI,Gender equality,5.51.01.07.gender,0,0.33333,0.33333,0.66667,0.66667,1,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,1,1
Burundi,BDI,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burundi,BDI,Population census,3.11.01.01.popcen,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Burundi,BDI,Poverty survey,5.14.01.01.povsurv,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
Burundi,BDI,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cabo Verde,CPV,Child malnutrition,5.51.01.02.malnut,..,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,Child mortality,5.51.01.03.mortal,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cabo Verde,CPV,Gender equality,5.51.01.07.gender,..,0.66667,0.66667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cabo Verde,CPV,Immunization,5.51.01.04.immun,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cabo Verde,CPV,Population census,3.11.01.01.popcen,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cabo Verde,CPV,Poverty survey,5.14.01.01.povsurv,..,1,1,1,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0,0
Cabo Verde,CPV,UNESCO reporting,5.12.01.01.unesco,..,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,KHM,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,0.66667,1,0.66667,0.66667,1,1,1,1,1,1,1,1,1
Cambodia,KHM,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,KHM,Gender equality,5.51.01.07.gender,1,1,1,1,1,1,1,0.66667,0.66667,0.33333,0.33333,0,0,0,0,0,0
Cambodia,KHM,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,KHM,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,KHM,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,KHM,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,CMR,Child malnutrition,5.51.01.02.malnut,0.66667,0.33333,0.33333,0.33333,0.66667,0.66667,1,1,0.66667,0.66667,1,1,1,1,1,1,1
Cameroon,CMR,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,CMR,Gender equality,5.51.01.07.gender,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Cameroon,CMR,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,CMR,Population census,3.11.01.01.popcen,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Cameroon,CMR,Poverty survey,5.14.01.01.povsurv,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0
Cameroon,CMR,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central African Republic,CAF,Child malnutrition,5.51.01.02.malnut,1,1,1,1,0.66667,0.33333,0.66667,0.66667,0.66667,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,1
Central African Republic,CAF,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central African Republic,CAF,Gender equality,5.51.01.07.gender,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333
Central African Republic,CAF,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central African Republic,CAF,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Central African Republic,CAF,Poverty survey,5.14.01.01.povsurv,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,0.5,0.5,0.5,0,0,0
Central African Republic,CAF,UNESCO reporting,5.12.01.01.unesco,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Chad,TCD,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,1,1,1,0.66667,0.66667,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Chad,TCD,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chad,TCD,Gender equality,5.51.01.07.gender,1,1,1,1,1,1,1,1,1,1,1,0.66667,0.66667,0.33333,1,0.66667,1
Chad,TCD,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chad,TCD,Population census,3.11.01.01.popcen,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Chad,TCD,Poverty survey,5.14.01.01.povsurv,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,0.5,0.5
Chad,TCD,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
Chile,CHL,Child malnutrition,5.51.01.02.malnut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,CHL,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,CHL,Gender equality,5.51.01.07.gender,0.66667,0.66667,0.66667,0.66667,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,CHL,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,CHL,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,CHL,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,CHL,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,CHN,Child malnutrition,5.51.01.02.malnut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,CHN,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,CHN,Gender equality,5.51.01.07.gender,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,1,1,1,1,1,1,1,1,1
China,CHN,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,CHN,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,CHN,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1
China,CHN,UNESCO reporting,5.12.01.01.unesco,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Colombia,COL,Child malnutrition,5.51.01.02.malnut,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.33333,0.66667
Colombia,COL,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colombia,COL,Gender equality,5.51.01.07.gender,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,1,0.33333,1,1,1,1,1
Colombia,COL,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
