"Region, development group, country or area",Location code,1990,1995,2000,2005,2010,2015,2020
thailand,764,28540,29930,31858,33242,34264,35155,35834
timorleste,626,365,418,438,493,541,592,652
viet nam,704,34336,37812,40340,42301,44221,46480,48740
southern asia,5501,573947,637756,702307,766011,827111,884219,939584
afghanistan,4,6068,8718,10090,12415,14250,16727,18952
bangladesh,50,49956,55876,62063,67814,72560,77039,81430
bhutan,64,258,261,289,309,325,344,362
india,356,420020,463092,507188,550558,592117,628929,662903
iran islamic republic of,364,27622,30138,32236,34273,36582,38762,41585
maldives,462,109,126,138,153,167,184,198
nepal,524,9510,10673,12021,12957,13717,14617,15788
pakistan,586,51827,59792,68870,77628,86998,96786,107220
sri lanka,144,8578,9080,9412,9907,10395,10830,11146
western asia,922,72983,81841,90779,100133,111567,123302,133180
armenia,51,1823,1693,1629,1579,1531,1550,1569
azerbaijan,31,3701,3978,4151,4332,4557,4834,5075
bahrain,48,210,239,283,355,467,525,601
cyprus,196,378,424,468,507,557,580,604
georgia,268,2838,2621,2290,2203,2146,2102,2088
iraq,368,8634,9990,11645,13323,14720,17589,19865
israel,376,2228,2668,3016,3309,3718,4022,4347
jordan,400,1698,2189,2467,2791,3558,4573,5037
kuwait,414,905,673,850,930,1262,1580,1656
lebanon,422,1420,1774,1928,2308,2437,3245,3390
oman,512,803,897,995,1091,1207,1484,1736
qatar,634,157,175,206,281,437,615,716
saudi arabia,682,7147,8303,9415,10555,11994,13677,14683
state of palestine,275,1036,1290,1587,1761,1998,2231,2514
syrian arab republic,760,6154,7090,8109,8993,10577,8931,8741
turkey,792,27291,29650,32096,34484,36763,39879,42703
united arab emirates,784,630,812,1017,1359,2154,2742,3054
yemen,887,5928,7376,8626,9973,11483,13142,14801
europe,908,373854,376859,376131,378064,381798,384876,386575
eastern europe,923,162967,162691,160101,157287,156259,155956,155183
belarus,112,5390,5353,5238,5098,5041,5047,5050
bulgaria,100,4484,4277,4100,3946,3809,3698,3574
czechia,203,5321,5325,5284,5262,5365,5392,5436
hungary,348,5393,5405,5358,5300,5217,5131,5062
poland,616,19476,19753,19839,19792,19798,19599,19509
republic of moldova,498,2285,2267,2191,2167,2122,2114,2102
romania,642,11910,11681,11308,10979,10532,10225,9884
russian federation,643,78471,78698,77902,76821,76938,77814,78294
slovakia,703,2707,2760,2778,2781,2783,2794,2801
ukraine,804,27530,27172,26104,25141,24655,24140,23471
northern europe,924,47247,47832,48404,49180,51115,52535,53774
channel islands,830,72,74,76,77,81,84,88
denmark,208,2605,2648,2698,2736,2799,2860,2913
estonia,233,833,770,747,726,712,700,698
faroe islands,234,0,0,0,0,0,0,0
finland,246,2572,2626,2655,2685,2732,2784,2808
iceland,352,127,133,140,147,159,165,170
ireland,372,1764,1808,1903,2074,2291,2350,2486
isle of man,833,0,0,0,0,0,0,0
latvia,428,1423,1353,1289,1219,1149,1082,1017
lithuania,440,1947,1918,1863,1791,1686,1582,1462
norway,578,2147,2207,2270,2334,2443,2582,2681
sweden,752,4335,4470,4489,4557,4713,4884,5040
united kingdom,826,29362,29765,30212,30770,32285,33399,34344
southern europe,925,73308,73866,74131,76435,78262,78402,77846
albania,8,1603,1579,1546,1535,1463,1419,1413
andorra,20,0,0,0,0,0,0,0
bosnia and herzegovina,70,2253,1951,1910,1916,1886,1748,1674
croatia,191,2461,2384,2296,2270,2244,2197,2126
gibraltar,292,0,0,0,0,0,0,0
greece,300,5156,5406,5574,5668,5539,5427,5307
holy see,336,0,0,0,0,0,0,0
italy,380,29316,29422,29258,29985,30621,31184,31024
malta,470,184,191,198,204,209,217,220
montenegro,499,309,312,310,313,316,317,317
north macedonia,807,992,988,1015,1031,1036,1039,1041
portugal,620,5132,5230,5331,5429,5525,5458,5373
san marino,674,0,0,0,0,0,0,0
serbia,688,4820,5014,4832,4693,4585,4526,4458
slovenia,705,1031,1025,1016,1019,1031,1042,1044
spain,724,19999,20306,20784,22303,23735,23756,23776
western europe,926,90332,92471,93496,95163,96162,97984,99772
austria,40,4029,4134,4153,4242,4311,4430,4567
belgium,56,5111,5200,5247,5373,5567,5739,5845
france,250,29090,29715,30390,31530,32421,33222,33684
germany,276,40908,41796,41760,41729,41208,41563,42368
liechtenstein,438,0,0,0,0,0,0,0
luxembourg,442,195,208,221,232,256,282,309
monaco,492,0,0,0,0,0,0,0
netherlands,528,7563,7807,8037,8251,8399,8518,8598
switzerland,756,3405,3579,3653,3771,3964,4191,4361
latin america and the caribbean,904,223232,244036,264064,282556,299936,316797,332334
caribbean,915,17153,18233,19243,20070,20827,21552,22038
anguilla,660,0,0,0,0,0,0,0
antigua and barbuda,28,32,36,40,43,46,49,51
aruba,533,31,41,47,52,53,55,56
bahamas,44,129,142,153,167,183,193,202
barbados,52,135,138,141,144,147,148,148
bonaire sint eustatius and saba,535,0,0,0,0,0,0,0
british virgin islands,92,0,0,0,0,0,0,0
cayman islands,136,0,0,0,0,0,0,0
cuba,192,5290,5441,5579,5648,5642,5697,5703
curaao,531,76,76,70,69,81,87,89
dominica,212,0,0,0,0,0,0,0
dominican republic,214,3544,3893,4227,4522,4829,5134,5430
grenada,308,49,51,52,52,53,54,56
guadeloupe,312,199,208,218,213,218,215,216
haiti,332,3577,3934,4296,4664,5042,5416,5776
jamaica,388,1226,1280,1334,1382,1413,1454,1492
martinique,474,185,193,205,212,212,203,203
montserrat,500,0,0,0,0,0,0,0
puerto rico,630,1758,1849,1905,1891,1861,1764,1505
saint barthlemy,652,0,0,0,0,0,0,0
saint kitts and nevis,659,0,0,0,0,0,0,0
saint lucia,662,70,75,80,83,88,91,93
saint martin french part,663,0,0,0,0,0,0,0
saint vincent and the grenadines,670,54,54,53,54,53,54,55
sint maarten dutch part,534,0,0,0,0,0,0,0
trinidad and tobago,780,613,629,636,653,670,693,709
turks and caicos islands,796,0,0,0,0,0,0,0
united states virgin islands,850,53,55,56,56,55,55,55
central america,916,57223,63205,68794,74436,80351,86173,91619
belize,84,93,103,123,141,161,181,200
costa rica,188,1548,1763,1974,2137,2285,2422,2549
el salvador,222,2699,2897,3052,3164,3257,3351,3450
guatemala,320,4661,5273,5934,6674,7444,8257,9088
honduras,340,2494,2873,3305,3744,4169,4563,4956
mexico,484,42403,46592,50342,54168,58267,62264,65861
nicaragua,558,2103,2348,2562,2755,2955,3156,3360
panama,591,1222,1357,1503,1654,1812,1978,2155
south america,931,148856,162598,176026,188050,198759,209073,218677
argentina,32,16734,17884,18976,19996,20997,22086,23147
bolivia plurinational state of,68,3413,3786,4183,4585,4992,5406,5815
brazil,76,74925,81605,88209,94125,99177,103814,108124
chile,152,6755,7310,7794,8220,8666,9125,9691
colombia,170,16787,18525,20203,21747,23063,24232,25898
ecuador,218,5087,5700,6316,6892,7491,8097,8819
falkland islands malvinas,238,0,0,0,0,0,0,0
french guiana,254,55,66,79,102,117,132,151
guyana,328,377,387,375,372,377,384,391
paraguay,600,2084,2355,2622,2867,3070,3285,3508
peru,604,11093,12197,13269,13973,14554,15337,16593
suriname,740,199,217,233,248,263,278,292
uruguay,858,1601,1662,1713,1719,1740,1766,1795
venezuela bolivarian republic of,862,9744,10902,12053,13202,14250,15129,14451
northern america,905,142516,149673,158448,165708,173670,180392,186289
bermuda,60,0,0,0,0,0,0,0
canada,124,13885,14726,15436,16219,17206,18163,19010
greenland,304,0,0,0,0,0,0,0
saint pierre and miquelon,666,0,0,0,0,0,0,0
united states of america,840,128571,134885,142949,149425,156401,162166,167217
oceania,909,13630,14694,15696,16824,18383,19905,21314
australia and new zealand,927,10231,10906,11483,12218,13300,14353,15253
australia,36,8506,9042,9518,10108,11075,12007,12801
new zealand,554,1726,1864,1965,2110,2224,2346,2452
melanesia,928,2932,3283,3673,4044,4513,4965,5452
fiji,242,358,381,399,403,421,427,442
new caledonia,540,83,94,107,117,126,134,142
papua new guinea,598,2267,2551,2875,3192,3591,3973,4379
solomon islands,90,152,175,201,230,260,297,338
vanuatu,548,71,82,90,103,116,134,151
micronesia,954,201,222,241,247,249,258,272
guam,316,61,70,76,78,78,80,84
kiribati,296,37,39,43,47,52,56,61
marshall islands,584,0,0,0,0,0,0,0
micronesia fed states of,583,47,53,53,52,51,54,57
nauru,520,0,0,0,0,0,0,0
northern mariana islands,580,0,0,0,0,0,0,0
palau,585,0,0,0,0,0,0,0
polynesia,957,266,283,299,316,322,328,337
american samoa,16,0,0,0,0,0,0,0
cook islands,184,0,0,0,0,0,0,0
french polynesia,258,96,105,117,126,130,134,139
niue,570,0,0,0,0,0,0,0
samoa,882,78,82,84,87,90,93,96
tokelau,772,0,0,0,0,0,0,0
tonga,776,47,47,48,50,52,50,53
tuvalu,798,0,0,0,0,0,0,0
wallis and futuna islands,876,0,0,0,0,0,0,0
