Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Japan,JPN,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Jordan,JOR,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Kazakhstan,KAZ,100,100,830,4000,10000,19000,32000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Kenya,KEN,490000,1200000,1300000,1200000,1200000,1300000,1300000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Kiribati,KIR,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Korea, Rep.",KOR,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Kosovo,XKX,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Kuwait,KWT,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Kyrgyz Republic,KGZ,100,100,200,1600,5100,7100,9200
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Lao PDR,LAO,100,500,1800,4900,8500,12000,14000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Latvia,LVA,600,1000,3200,4000,4400,5400,7400
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Lebanon,LBN,500,500,500,850,1300,2200,2900
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Lesotho,LSO,13000,110000,200000,230000,260000,280000,280000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Liberia,LBR,16000,30000,40000,35000,34000,32000,32000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Libya,LBY,100,500,1000,2600,4600,6100,7700
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Liechtenstein,LIE,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Lithuania,LTU,500,660,950,1600,2200,2800,3400
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Luxembourg,LUX,200,500,500,500,740,1100,1300
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Macao SAR, China",MAC,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Madagascar,MDG,100,200,1000,4100,12000,27000,51000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Malawi,MWI,370000,720000,830000,790000,800000,880000,930000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Malaysia,MYS,9600,38000,51000,59000,63000,67000,78000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Maldives,MDV,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Mali,MLI,39000,76000,92000,91000,94000,95000,96000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Malta,MLT,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Marshall Islands,MHL,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Mauritania,MRT,1300,3600,6400,8400,8800,8500,8700
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Mauritius,MUS,100,540,4900,9300,12000,12000,12000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Mexico,MEX,52000,88000,130000,170000,230000,280000,350000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Moldova,MDA,200,520,6700,9600,13000,14000,15000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Monaco,MCO,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Mongolia,MNG,100,100,100,500,500,520,610
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Montenegro,MNE,100,100,100,200,200,500,500
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Morocco,MAR,2400,5800,9900,14000,17000,20000,21000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Mozambique,MOZ,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Myanmar,MMR,9400,81000,160000,220000,240000,250000,260000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Namibia,NAM,14000,71000,130000,150000,170000,190000,210000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Nauru,NRU,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Nepal,NPL,100,1000,15000,28000,29000,26000,28000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Netherlands,NLD,2000,5700,10000,14000,19000,23000,24000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,New Caledonia,NCL,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,New Zealand,NZL,740,910,1200,1700,2300,3000,3500
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Nicaragua,NIC,200,870,3500,5600,7400,9200,11000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Niger,NER,6000,21000,35000,36000,31000,28000,27000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Nigeria,NGA,520000,1100000,1400000,1400000,1500000,1600000,1700000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,North Macedonia,MKD,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Norway,NOR,790,1200,1800,2200,3000,3900,4500
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Oman,OMN,500,910,1100,1300,1500,1900,2400
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Pakistan,PAK,100,100,500,10000,66000,120000,190000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Palau,PLW,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Panama,PAN,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Papua New Guinea,PNG,200,1600,9700,22000,30000,40000,53000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Paraguay,PRY,880,3400,6400,8400,11000,13000,15000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Peru,PER,53000,54000,51000,51000,57000,69000,92000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Philippines,PHL,100,500,970,3900,17000,51000,120000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Poland,POL,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Portugal,PRT,10000,22000,28000,34000,37000,40000,42000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Puerto Rico,PRI,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Qatar,QAT,100,100,100,100,200,200,500
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Romania,ROU,810,2100,5600,12000,16000,18000,20000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Russian Federation,RUS,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Rwanda,RWA,90000,140000,180000,180000,190000,210000,220000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Samoa,WSM,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,San Marino,SMR,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Sao Tome and Principe,STP,780,1700,1700,1300,1100,900,840
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Saudi Arabia,SAU,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Senegal,SEN,5000,16000,32000,42000,41000,36000,36000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Serbia,SRB,1200,1300,930,1000,1700,2600,3400
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Seychelles,SYC,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Sierra Leone,SLE,15000,29000,41000,52000,57000,62000,65000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Singapore,SGP,500,1400,2900,4400,5900,7400,8000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Slovak Republic,SVK,100,100,200,500,500,700,1100
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Slovenia,SVN,200,200,200,500,650,780,820
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Solomon Islands,SLB,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Somalia,SOM,2400,6100,11000,13000,11000,8700,7100
Adults (ages 15+) living with HIV,SH.DYN.AIDS,South Africa,ZAF,150000,1100000,2800000,4000000,5000000,6200000,7100000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,South Sudan,SSD,20000,42000,71000,94000,120000,130000,150000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Spain,ESP,64000,98000,110000,120000,130000,140000,150000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Sri Lanka,LKA,100,540,2000,3400,3800,3700,3600
Adults (ages 15+) living with HIV,SH.DYN.AIDS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,St. Lucia,LCA,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,St. Martin (French part),MAF,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Sudan,SDN,6700,18000,28000,33000,34000,34000,37000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Suriname,SUR,500,1200,2700,3800,4600,5300,5900
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Sweden,SWE,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Switzerland,CHE,12000,11000,11000,13000,15000,17000,17000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Syrian Arab Republic,SYR,100,200,500,500,500,510,690
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Tajikistan,TJK,100,100,100,670,5000,8500,12000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Tanzania,TZA,630000,1100000,1200000,1200000,1200000,1400000,1600000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Thailand,THA,250000,710000,760000,650000,600000,550000,520000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Timor-Leste,TLS,100,200,200,500,510,860,1300
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Togo,TGO,13000,48000,93000,97000,95000,97000,98000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Tonga,TON,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Trinidad and Tobago,TTO,2000,5000,8800,11000,12000,11000,11000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Tunisia,TUN,100,100,500,1100,2900,4200,5000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Turkiye,TUR,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Turkmenistan,TKM,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Tuvalu,TUV,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Uganda,UGA,740000,810000,790000,800000,920000,1100000,1300000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Ukraine,UKR,4100,48000,180000,240000,230000,230000,240000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,United Arab Emirates,ARE,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,United Kingdom,GBR,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,United States,USA,..,..,..,..,940000,1100000,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Uruguay,URY,860,3100,5300,6700,8600,11000,14000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Uzbekistan,UZB,100,200,1100,7600,21000,34000,49000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Vanuatu,VUT,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Venezuela, RB",VEN,12000,14000,48000,94000,98000,95000,92000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Vietnam,VNM,1600,41000,110000,170000,200000,230000,240000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,West Bank and Gaza,PSE,..,..,..,..,..,..,..
Adults (ages 15+) living with HIV,SH.DYN.AIDS,"Yemen, Rep.",YEM,780,1400,2000,2900,4400,6500,9200
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Zambia,ZMB,360000,650000,790000,820000,930000,1100000,1200000
Adults (ages 15+) living with HIV,SH.DYN.AIDS,Zimbabwe,ZWE,740000,1400000,1400000,1200000,1100000,1200000,1200000
Wanted fertility rate (births per woman),SP.DYN.WFRT,Afghanistan,AFG,..,..,..,..,..,4.4,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Albania,ALB,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Algeria,DZA,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,American Samoa,ASM,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Andorra,AND,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Angola,AGO,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Antigua and Barbuda,ATG,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Argentina,ARG,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Armenia,ARM,..,..,1.5,1.6,1.6,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Aruba,ABW,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Australia,AUS,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Austria,AUT,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Azerbaijan,AZE,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,"Bahamas, The",BHS,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Bahrain,BHR,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Bangladesh,BGD,..,..,2.2,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Barbados,BRB,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Belarus,BLR,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Belgium,BEL,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Belize,BLZ,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Benin,BEN,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Bermuda,BMU,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Bhutan,BTN,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Bolivia,BOL,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Botswana,BWA,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Brazil,BRA,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,British Virgin Islands,VGB,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Brunei Darussalam,BRN,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Bulgaria,BGR,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Burkina Faso,BFA,..,..,..,..,5.4,..,..
