Country Name,Country Code,Series,Series Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Arab World,ARB,Proportion of lower secondary schools with access to electricity (%),UIS.SCHBSP.2.WELEC,..,..,..,..,..,83.74516,..
Arab World,ARB,Proportion of lower secondary schools with access to computers for pedagogical purposes (%),UIS.SCHBSP.2.WCOMPUT,..,..,..,..,..,92.14447,..
Arab World,ARB,Proportion of lower secondary schools with access to basic drinking water (%),UIS.SCHBSP.2.WWATA,..,..,..,..,..,91.56449,..
Arab World,ARB,Proportion of lower secondary schools with access to adapted infrastructure and materials for students with disabilities (%),UIS.SCHBSP.2.WINFSTUDIS,..,..,..,..,..,..,..
Arab World,ARB,"Proportion of 15-24 year-olds enrolled in vocational education, both sexes (%)",UIS.EV1524P.2T5.V,4.38972,4.64286,3.21525,4.05932,3.23352,3.92081,..
Arab World,ARB,Primary school age children out-of-school (%),SE.LPV.PRIM.OOS,..,..,..,..,..,..,..
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,3.47945,3.2558,..
Afghanistan,AFG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..
Afghanistan,AFG,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..
Afghanistan,AFG,"Proportion of teachers with the minimum required qualifications in pre-primary education, both sexes (%)",UIS.TRTP.02,..,..,..,..,..,..,..
Afghanistan,AFG,"Proportion of teachers with the minimum required qualifications in lower secondary education, both sexes (%)",UIS.TRTP.2,..,..,..,..,..,..,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..
Afghanistan,AFG,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,..,..,..,..,75.46723,78.34911,..
Afghanistan,AFG,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..,..,..
Afghanistan,AFG,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,75.04,73.21,67.85,65.73,58.38,..,..
Afghanistan,AFG,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,3.6,5.19,7.78,8.8,12.86,..,..
Afghanistan,AFG,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.ZS,6.9,17.45,21.89,25.45,28.64,..,..
Afghanistan,AFG,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,59.77,67.17,68.31,48.32,54.52,..,..
Afghanistan,AFG,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,67.39,59.77,67.17,68.31,48.32,..,..
Afghanistan,AFG,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,78.4,78.4,71.43,67.39,59.77,..,..
Afghanistan,AFG,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.ZS,3.17,3.04,2.46,10.55,13.21,..,..
Afghanistan,AFG,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP,..,..,..,..,18.31858,19.59267,..
Afghanistan,AFG,"Completion rate, lower secondary education, rural, both sexes (%)",UIS.CR.2.RUR,..,..,..,..,..,30.7106,..
Afghanistan,AFG,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS,..,..,..,..,81.68142,80.40733,..
Afghanistan,AFG,Duration of compulsory education (years),SE.COM.DURS,..,..,6,6,9,9,..
Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,0,..,..,1.224148084,4,8.26,..
Afghanistan,AFG,Official entrance age to compulsory education (years),UIS.CEAGE.1,..,..,7,7,7,7,..
Afghanistan,AFG,Official entrance age to early childhood education (years),UIS.THAGE.0,..,..,6,6,6,6,..
Afghanistan,AFG,Official entrance age to pre-primary education (years),UIS.THAGE.02,6,6,6,6,6,6,..
Afghanistan,AFG,Proportion of lower secondary schools with access to Internet for pedagogical purposes (%),UIS.SCHBSP.2.WINTERN,..,..,..,..,..,..,..
Afghanistan,AFG,Proportion of lower secondary schools with access to electricity (%),UIS.SCHBSP.2.WELEC,..,..,..,..,..,..,..
Afghanistan,AFG,Proportion of lower secondary schools with access to computers for pedagogical purposes (%),UIS.SCHBSP.2.WCOMPUT,..,..,..,..,..,..,..
Afghanistan,AFG,Proportion of lower secondary schools with access to basic drinking water (%),UIS.SCHBSP.2.WWATA,..,..,..,..,..,..,..
Afghanistan,AFG,Proportion of lower secondary schools with access to adapted infrastructure and materials for students with disabilities (%),UIS.SCHBSP.2.WINFSTUDIS,..,..,..,..,..,..,..
Afghanistan,AFG,"Proportion of 15-24 year-olds enrolled in vocational education, both sexes (%)",UIS.EV1524P.2T5.V,0,0,..,..,..,0.3281,..
Afghanistan,AFG,Primary school age children out-of-school (%),SE.LPV.PRIM.OOS,..,..,..,..,..,..,..
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,3.81464,3.43017,3.28155,..,3.43797,..
Albania,ALB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,12550,..,29727,3929,..
Albania,ALB,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..
Albania,ALB,"Proportion of teachers with the minimum required qualifications in pre-primary education, both sexes (%)",UIS.TRTP.02,..,..,..,..,..,..,..
Albania,ALB,"Proportion of teachers with the minimum required qualifications in lower secondary education, both sexes (%)",UIS.TRTP.2,..,..,..,..,..,..,..
Albania,ALB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..
Albania,ALB,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,..,..,..,..,..,79.98806,..
Albania,ALB,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..,..,..
Albania,ALB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.91,14.57,1.27,2.35,3.28,..,..
Albania,ALB,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,12.61,11.98,13.92,11.18,9.03,..,..
Albania,ALB,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.ZS,91.4,70.79,84.01,88.17,93.7,..,..
Albania,ALB,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.67,7.18,0.56,1.82,1.41,..,..
Albania,ALB,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,6.42,7.67,0.5,1.06,1.82,..,..
Albania,ALB,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,17.23,16.71,0.33,0.7,1.3,..,..
Albania,ALB,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.ZS,37.03,34.6,36.55,33.38,44.9,..,..
Albania,ALB,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP,..,..,..,..,..,8.05458,..
Albania,ALB,"Completion rate, lower secondary education, rural, both sexes (%)",UIS.CR.2.RUR,..,..,91.42,97.94,..,..,..
Albania,ALB,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS,..,..,..,..,..,91.94542,..
Albania,ALB,Duration of compulsory education (years),SE.COM.DURS,..,..,8,8,8,9,..
Albania,ALB,Internet users (per 100 people),IT.NET.USER.P2,0,0.011168695,0.114097347,6.043890864,45,63.2529327,..
Albania,ALB,Official entrance age to compulsory education (years),UIS.CEAGE.1,..,..,6,6,6,6,..
Albania,ALB,Official entrance age to early childhood education (years),UIS.THAGE.0,..,..,3,3,3,1,..
Albania,ALB,Official entrance age to pre-primary education (years),UIS.THAGE.02,3,3,3,3,3,3,..
Albania,ALB,Proportion of lower secondary schools with access to Internet for pedagogical purposes (%),UIS.SCHBSP.2.WINTERN,..,..,..,..,..,..,..
Albania,ALB,Proportion of lower secondary schools with access to electricity (%),UIS.SCHBSP.2.WELEC,..,..,..,..,..,..,..
Albania,ALB,Proportion of lower secondary schools with access to computers for pedagogical purposes (%),UIS.SCHBSP.2.WCOMPUT,..,..,..,..,..,..,..
Albania,ALB,Proportion of lower secondary schools with access to basic drinking water (%),UIS.SCHBSP.2.WWATA,..,..,..,..,..,..,..
Albania,ALB,Proportion of lower secondary schools with access to adapted infrastructure and materials for students with disabilities (%),UIS.SCHBSP.2.WINFSTUDIS,..,..,..,..,..,..,..
Albania,ALB,"Proportion of 15-24 year-olds enrolled in vocational education, both sexes (%)",UIS.EV1524P.2T5.V,..,..,2.18845,..,..,..,..
Albania,ALB,Primary school age children out-of-school (%),SE.LPV.PRIM.OOS,..,..,..,..,..,..,..
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..
Algeria,DZA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,614621,541872,426108,186567,30997,23175,..
Algeria,DZA,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,94.63773,98.52628,..,100,..
Algeria,DZA,"Proportion of teachers with the minimum required qualifications in pre-primary education, both sexes (%)",UIS.TRTP.02,..,..,..,..,..,..,..
Algeria,DZA,"Proportion of teachers with the minimum required qualifications in lower secondary education, both sexes (%)",UIS.TRTP.2,..,..,..,..,..,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..
Algeria,DZA,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,..,..,..,..,..,..,..
Algeria,DZA,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,38.88,32.89,28.17,29.6,21.12,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,14.74,19.34,24.04,27.2,25.88,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.ZS,46.64,45.54,34.85,32.95,42.16,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16,12.66,10.33,7.12,3.91,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,19.04,16,12.67,10.33,7.12,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,58.11,41.92,39.69,25.6,25.6,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.ZS,20.75,23.46,26.76,19.84,18.5,..,..
Algeria,DZA,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP,..,..,..,..,..,..,..
Algeria,DZA,"Completion rate, lower secondary education, rural, both sexes (%)",UIS.CR.2.RUR,..,..,..,..,..,..,..
Algeria,DZA,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS,..,..,..,..,..,..,..
Algeria,DZA,Duration of compulsory education (years),SE.COM.DURS,..,..,10,10,10,10,10
Algeria,DZA,Internet users (per 100 people),IT.NET.USER.P2,0,0.001768954,0.491705679,5.843942092,12.5,38.2,..
Algeria,DZA,Official entrance age to compulsory education (years),UIS.CEAGE.1,..,..,6,6,6,6,6
Algeria,DZA,Official entrance age to early childhood education (years),UIS.THAGE.0,..,..,..,4,5,5,5
Algeria,DZA,Official entrance age to pre-primary education (years),UIS.THAGE.02,4,4,4,4,5,5,5
Algeria,DZA,Proportion of lower secondary schools with access to Internet for pedagogical purposes (%),UIS.SCHBSP.2.WINTERN,..,..,..,..,..,..,..
Algeria,DZA,Proportion of lower secondary schools with access to electricity (%),UIS.SCHBSP.2.WELEC,..,..,..,..,..,..,..
Algeria,DZA,Proportion of lower secondary schools with access to computers for pedagogical purposes (%),UIS.SCHBSP.2.WCOMPUT,..,..,..,..,..,..,..
Algeria,DZA,Proportion of lower secondary schools with access to basic drinking water (%),UIS.SCHBSP.2.WWATA,..,..,..,..,..,..,..
Algeria,DZA,Proportion of lower secondary schools with access to adapted infrastructure and materials for students with disabilities (%),UIS.SCHBSP.2.WINFSTUDIS,..,..,..,..,..,..,..
Algeria,DZA,"Proportion of 15-24 year-olds enrolled in vocational education, both sexes (%)",UIS.EV1524P.2T5.V,..,2.27238,..,..,..,..,..
Algeria,DZA,Primary school age children out-of-school (%),SE.LPV.PRIM.OOS,..,..,..,..,..,..,..
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..
American Samoa,ASM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..
American Samoa,ASM,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..
American Samoa,ASM,"Proportion of teachers with the minimum required qualifications in pre-primary education, both sexes (%)",UIS.TRTP.02,..,..,..,..,..,..,..
American Samoa,ASM,"Proportion of teachers with the minimum required qualifications in lower secondary education, both sexes (%)",UIS.TRTP.2,..,..,..,..,..,..,..
American Samoa,ASM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..
American Samoa,ASM,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,..,..,..,..,..,..,..
American Samoa,ASM,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.ZS,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.ZS,..,..,..,..,..,..,..
American Samoa,ASM,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP,..,..,..,..,..,..,..
American Samoa,ASM,"Completion rate, lower secondary education, rural, both sexes (%)",UIS.CR.2.RUR,..,..,..,..,..,..,..
American Samoa,ASM,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS,..,..,..,..,..,..,..
American Samoa,ASM,Duration of compulsory education (years),SE.COM.DURS,..,..,..,..,..,..,..
American Samoa,ASM,Internet users (per 100 people),IT.NET.USER.P2,0,..,..,..,..,..,..
American Samoa,ASM,Official entrance age to compulsory education (years),UIS.CEAGE.1,..,..,..,..,..,..,..
American Samoa,ASM,Official entrance age to early childhood education (years),UIS.THAGE.0,..,..,..,..,..,..,..
American Samoa,ASM,Official entrance age to pre-primary education (years),UIS.THAGE.02,3,3,..,..,..,..,..
American Samoa,ASM,Proportion of lower secondary schools with access to Internet for pedagogical purposes (%),UIS.SCHBSP.2.WINTERN,..,..,..,..,..,..,..
American Samoa,ASM,Proportion of lower secondary schools with access to electricity (%),UIS.SCHBSP.2.WELEC,..,..,..,..,..,..,..
American Samoa,ASM,Proportion of lower secondary schools with access to computers for pedagogical purposes (%),UIS.SCHBSP.2.WCOMPUT,..,..,..,..,..,..,..
American Samoa,ASM,Proportion of lower secondary schools with access to basic drinking water (%),UIS.SCHBSP.2.WWATA,..,..,..,..,..,..,..
American Samoa,ASM,Proportion of lower secondary schools with access to adapted infrastructure and materials for students with disabilities (%),UIS.SCHBSP.2.WINFSTUDIS,..,..,..,..,..,..,..
American Samoa,ASM,"Proportion of 15-24 year-olds enrolled in vocational education, both sexes (%)",UIS.EV1524P.2T5.V,..,..,..,..,..,..,..
American Samoa,ASM,Primary school age children out-of-school (%),SE.LPV.PRIM.OOS,..,..,..,..,..,..,..
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,1.64497,2.97663,3.28035,..
Andorra,AND,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..
Andorra,AND,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,100,100,..
Andorra,AND,"Proportion of teachers with the minimum required qualifications in pre-primary education, both sexes (%)",UIS.TRTP.02,..,..,..,..,100,100,..
Andorra,AND,"Proportion of teachers with the minimum required qualifications in lower secondary education, both sexes (%)",UIS.TRTP.2,..,..,..,..,100,..,..
Andorra,AND,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..
Andorra,AND,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,..,..,..,..,55.80694,54.853,..
Andorra,AND,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.ZS,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.ZS,..,..,..,..,..,..,..
Andorra,AND,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP,..,..,..,..,1.6832,1.33439,..
Andorra,AND,"Completion rate, lower secondary education, rural, both sexes (%)",UIS.CR.2.RUR,..,..,..,..,..,..,..
Andorra,AND,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS,..,..,..,..,98.3168,98.66561,..
Andorra,AND,Duration of compulsory education (years),SE.COM.DURS,..,..,10,10,10,10,..
Andorra,AND,Internet users (per 100 people),IT.NET.USER.P2,0,..,10.53883561,37.60576622,81,96.91,..
Andorra,AND,Official entrance age to compulsory education (years),UIS.CEAGE.1,..,..,6,6,6,6,..
Andorra,AND,Official entrance age to early childhood education (years),UIS.THAGE.0,..,..,3,3,3,3,..
Andorra,AND,Official entrance age to pre-primary education (years),UIS.THAGE.02,3,3,3,3,3,3,..
Andorra,AND,Proportion of lower secondary schools with access to Internet for pedagogical purposes (%),UIS.SCHBSP.2.WINTERN,..,..,..,..,..,..,..
Andorra,AND,Proportion of lower secondary schools with access to electricity (%),UIS.SCHBSP.2.WELEC,..,..,..,..,..,..,..
Andorra,AND,Proportion of lower secondary schools with access to computers for pedagogical purposes (%),UIS.SCHBSP.2.WCOMPUT,..,..,..,..,..,..,..
Andorra,AND,Proportion of lower secondary schools with access to basic drinking water (%),UIS.SCHBSP.2.WWATA,..,..,..,..,..,..,..
Andorra,AND,Proportion of lower secondary schools with access to adapted infrastructure and materials for students with disabilities (%),UIS.SCHBSP.2.WINFSTUDIS,..,..,..,..,..,..,..
Andorra,AND,"Proportion of 15-24 year-olds enrolled in vocational education, both sexes (%)",UIS.EV1524P.2T5.V,..,..,..,..,..,..,..
Andorra,AND,Primary school age children out-of-school (%),SE.LPV.PRIM.OOS,..,..,..,..,..,..,..
Angola,AGO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,2.60753,2.12011,3.42132,..,..
Angola,AGO,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,730775,..,..
Angola,AGO,"Proportion of teachers with the minimum required qualifications in primary education, both sexes (%)",SE.PRM.TCAQ.ZS,..,..,..,..,..,..,..
Angola,AGO,"Proportion of teachers with the minimum required qualifications in pre-primary education, both sexes (%)",UIS.TRTP.02,..,..,..,..,45.14752,..,..
Angola,AGO,"Proportion of teachers with the minimum required qualifications in lower secondary education, both sexes (%)",UIS.TRTP.2,..,..,..,..,..,53.52528,..
Angola,AGO,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..
Angola,AGO,All staff compensation as % of total expenditure in lower secondary public institutions (%),UIS.XSPENDP.2.FDPUB.FNS,..,..,..,..,..,..,..
Angola,AGO,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..,..,..
Angola,AGO,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..
Angola,AGO,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,..,..,..,..,..,..,..
Angola,AGO,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary),BAR.SEC.ICMP.1519.ZS,..,..,..,..,..,..,..
Angola,AGO,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,..,..,..,..,..,..,..
Angola,AGO,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,..,..,..,..,..,..,..
Angola,AGO,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,..,..,..,..,..,..,..
Angola,AGO,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary,BAR.SEC.CMPT.2529.ZS,..,..,..,..,..,..,..
Angola,AGO,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP,..,..,..,..,..,..,..
Angola,AGO,"Completion rate, lower secondary education, rural, both sexes (%)",UIS.CR.2.RUR,..,..,..,..,..,9.3044,..
Angola,AGO,Current expenditure as % of total expenditure in public institutions (%),SE.XPD.CUR.TOTL.ZS,..,..,..,..,..,..,..
Angola,AGO,Duration of compulsory education (years),SE.COM.DURS,..,..,4,4,6,6,..
Angola,AGO,Internet users (per 100 people),IT.NET.USER.P2,0,..,0.105045562,1.143366827,2.8,12.4,..
Angola,AGO,Official entrance age to compulsory education (years),UIS.CEAGE.1,..,..,6,6,6,6,..
Angola,AGO,Official entrance age to early childhood education (years),UIS.THAGE.0,..,..,..,..,..,5,..
Angola,AGO,Official entrance age to pre-primary education (years),UIS.THAGE.02,3,3,3,3,5,5,..
Angola,AGO,Proportion of lower secondary schools with access to Internet for pedagogical purposes (%),UIS.SCHBSP.2.WINTERN,..,..,..,..,..,..,..
Angola,AGO,Proportion of lower secondary schools with access to electricity (%),UIS.SCHBSP.2.WELEC,..,..,..,..,..,..,..
Angola,AGO,Proportion of lower secondary schools with access to computers for pedagogical purposes (%),UIS.SCHBSP.2.WCOMPUT,..,..,..,..,..,..,..
Angola,AGO,Proportion of lower secondary schools with access to basic drinking water (%),UIS.SCHBSP.2.WWATA,..,..,..,..,..,..,..
