Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
175,2020,   Comoros,,174,B,  168,  235,  356,  464,  629,  737,  731,  678,  640,  525,  415,  312,  229,  165,  103,  65, 6 452
176,1990,   Djibouti,,262,B R, 1 886, 2 889, 5 244, 8 834, 11 116, 10 089, 6 866, 3 570, 1 792, 1 403, 1 203, 1 068,  845,  522,  261,  391, 57 979
177,1995,   Djibouti,,262,B R, 1 559, 2 326, 3 859, 6 302, 8 124, 7 941, 6 087, 3 661, 2 070, 1 446, 1 093,  980,  775,  478,  238,  359, 47 298
178,2000,   Djibouti,,262,B R, 1 593, 2 305, 3 412, 5 324, 7 113, 7 664, 6 663, 4 524, 2 765, 1 793, 1 227, 1 109,  877,  542,  270,  406, 47 587
179,2005,   Djibouti,,262,B R, 1 338, 2 101, 3 161, 4 677, 6 022, 6 120, 5 334, 3 674, 2 426, 1 677, 1 224, 1 047,  828,  512,  255,  383, 40 779
180,2010,   Djibouti,,262,B R, 1 563, 2 652, 4 048, 5 714, 7 108, 6 770, 5 920, 4 148, 2 960, 2 162, 1 660, 1 363, 1 076,  665,  331,  498, 48 638
181,2015,   Djibouti,,262,B R, 1 876, 2 726, 4 185, 5 981, 7 531, 7 383, 6 555, 4 713, 3 396, 2 514, 1 912, 1 557, 1 231,  761,  379,  570, 53 270
182,2020,   Djibouti,,262,B R, 1 481, 2 370, 3 299, 5 076, 8 138, 9 044, 7 717, 5 434, 4 015, 2 875, 2 075, 1 669, 1 360, 1 222,  615,  485, 56 875
183,1990,   Eritrea,,232,I R,  333,  290,  382,  537,  712,  792,  715,  566,  384,  252,  181,  163,  131,  88,  35,  59, 5 620
184,1995,   Eritrea,,232,I R,  328,  285,  419,  541,  681,  759,  715,  601,  446,  324,  234,  192,  153,  88,  34,  58, 5 858
185,2000,   Eritrea,,232,I R,  325,  281,  456,  548,  654,  730,  721,  640,  509,  397,  287,  220,  148,  87,  34,  59, 6 096
186,2005,   Eritrea,,232,I R,  436,  392,  534,  663,  767,  842,  813,  717,  589,  467,  364,  289,  194,  114,  45,  76, 7 302
187,2010,   Eritrea,,232,I R,  469,  430,  512,  653,  737,  789,  755,  658,  557,  450,  372,  303,  203,  120,  47,  79, 7 134
188,2015,   Eritrea,,232,I R,  465,  433,  492,  619,  712,  763,  752,  669,  571,  467,  384,  315,  211,  124,  49,  82, 7 108
189,2020,   Eritrea,,232,I R,  318,  113,  345,  628,  715,  753,  718,  629,  522,  426,  345,  273,  182,  85,  19,  48, 6 119
190,1990,   Ethiopia,,231,B R, 35 977, 38 717, 47 823, 62 842, 69 020, 66 864, 55 182, 42 539, 31 650, 24 112, 19 223, 15 794, 14 263, 12 049, 4 819, 7 232, 548 106
191,1995,   Ethiopia,,231,B R, 24 213, 26 177, 31 591, 40 462, 45 104, 45 863, 39 914, 32 272, 24 586, 18 870, 14 844, 12 066, 10 620, 8 100, 3 239, 4 866, 382 787
192,2000,   Ethiopia,,231,B R, 17 080, 18 631, 21 466, 26 018, 29 957, 33 538, 31 977, 27 783, 21 869, 16 952, 13 097, 10 491, 8 898, 5 701, 2 279, 3 428, 289 165
193,2005,   Ethiopia,,231,B R, 13 793, 16 168, 19 177, 22 801, 25 843, 27 230, 25 785, 22 316, 18 209, 14 490, 11 614, 9 482, 7 917, 4 894, 1 956, 2 942, 244 617
194,2010,   Ethiopia,,231,B R, 14 422, 18 418, 22 530, 26 249, 29 242, 28 641, 26 903, 23 169, 19 777, 16 227, 13 540, 11 276, 9 262, 5 509, 2 203, 3 311, 270 679
195,2015,   Ethiopia,,231,B R, 68 811, 98 210, 56 381, 44 663, 44 202, 45 348, 44 138, 39 796, 34 893, 29 171, 23 303, 17 833, 11 392, 6 010, 2 470, 3 612, 570 233
196,2020,   Ethiopia,,231,B R, 64 206, 94 887, 52 369, 46 851, 46 337, 46 709, 44 279, 38 719, 33 126, 27 298, 21 369, 15 836, 9 578, 4 012, 1 107, 2 027, 548 710
197,1990,   Kenya,,404,B R, 8 206, 10 130, 13 268, 20 113, 15 930, 15 952, 12 380, 9 421, 6 886, 5 879, 4 855, 3 887, 3 392, 2 596, 1 800, 2 135, 136 830
198,1995,   Kenya,,404,B R, 22 680, 29 648, 25 879, 26 896, 37 393, 33 202, 29 290, 22 041, 17 712, 12 625, 10 319, 8 790, 7 159, 5 106, 3 829, 3 987, 296 556
199,2000,   Kenya,,404,B R, 22 565, 28 884, 26 166, 29 725, 38 039, 46 433, 38 709, 32 290, 23 476, 18 566, 12 473, 11 984, 8 933, 6 449, 5 396, 4 831, 354 919
200,2005,   Kenya,,404,B R, 21 427, 28 526, 25 697, 28 302, 36 008, 41 997, 46 312, 36 348, 29 348, 21 329, 16 732, 11 996, 10 621, 6 891, 5 410, 6 046, 372 990
201,2010,   Kenya,,404,B R, 34 412, 42 283, 35 833, 35 973, 40 816, 46 486, 49 598, 50 251, 38 559, 30 789, 22 695, 18 116, 12 365, 9 268, 6 383, 8 005, 481 832
202,2015,   Kenya,,404,B R, 46 559, 54 516, 41 195, 41 365, 47 374, 49 722, 50 272, 49 611, 49 358, 37 529, 29 819, 22 793, 17 243, 9 657, 7 966, 8 998, 563 977
203,2020,   Kenya,,404,B R, 38 828, 45 634, 33 747, 32 946, 42 401, 47 709, 46 118, 43 729, 42 915, 42 594, 31 869, 25 716, 18 332, 11 711, 6 922, 9 001, 520 172
204,1990,   Madagascar,,450,C R,  775,  787,  585,  660,  892,  975,  928,  797,  746,  750,  661,  525,  366,  284,  363,  475, 10 569
205,1995,   Madagascar,,450,C R,  694,  729,  609,  416,  715,  850,  843,  751,  627,  657,  639,  510,  393,  239,  240,  364, 9 276
206,2000,   Madagascar,,450,C R,  758,  782,  730,  551,  622,  841,  929,  862,  750,  702,  706,  623,  494,  345,  268,  302, 10 265
207,2005,   Madagascar,,450,C R,  817,  839,  817,  685,  633,  788,  960,  962,  869,  784,  762,  716,  603,  452,  335,  292, 11 314
208,2010,   Madagascar,,450,C R,  882,  903,  893,  809,  710,  769,  945, 1 033,  988,  891,  836,  799,  711,  569,  425,  332, 12 495
209,2015,   Madagascar,,450,C R,  953,  974,  971,  920,  819,  800,  930, 1 063, 1 093, 1 014,  933,  884,  815,  690,  536,  410, 13 805
210,2020,   Madagascar,,450,C R,  949,  997,  988, 1 128, 1 367, 1 280, 1 107, 1 118, 1 205, 1 147,  932,  777,  690,  602,  479,  535, 15 301
211,1990,   Malawi,,454,B R, 90 821, 76 203, 67 066, 69 384, 58 947, 50 627, 40 029, 31 251, 24 084, 16 441, 14 809, 13 213, 11 139, 4 324, 3 126, 9 740, 581 204
212,1995,   Malawi,,454,B R, 7 607, 8 064, 9 590, 11 375, 11 960, 11 219, 9 926, 8 546, 7 253, 6 074, 4 931, 3 924, 3 860, 5 501, 7 450, 8 146, 125 426
213,2000,   Malawi,,454,B R, 7 302, 7 337, 8 276, 10 294, 11 714, 11 445, 10 283, 8 938, 7 607, 6 434, 5 324, 4 223, 3 370, 4 109, 6 545, 7 889, 121 090
214,2005,   Malawi,,454,B R, 7 033, 6 914, 7 134, 8 727, 10 989, 11 444, 10 495, 9 215, 7 909, 6 664, 5 664, 4 536, 3 555, 2 895, 4 986, 7 570, 115 730
215,2010,   Malawi,,454,B R, 7 009, 6 813, 6 741, 7 228, 10 290, 11 630, 10 934, 9 437, 8 543, 7 113, 6 029, 5 179, 3 758, 3 247, 2 466, 7 436, 113 853
216,2015,   Malawi,,454,B R, 5 532, 5 626, 6 311, 7 955, 9 281, 10 453, 9 846, 8 337, 7 954, 7 019, 5 937, 4 827, 4 184, 2 797, 2 514, 5 066, 103 639
217,2020,   Malawi,,454,B R, 5 016, 5 856, 5 582, 7 343, 9 394, 8 833, 8 786, 7 765, 7 261, 6 774, 6 252, 5 168, 4 087, 3 320, 2 228, 4 085, 97 750
218,1990,   Mauritius*,,480,C,  165,  200,  150,  103,  118,  184,  203,  164,  131,  90,  70,  54,  57,  53,  38,  70, 1 850
219,1995,   Mauritius*,,480,C,  171,  285,  315,  251,  429,  661,  573,  499,  351,  251,  154,  100,  61,  52,  43,  69, 4 265
220,2000,   Mauritius*,,480,C,  120,  163,  161,  144, 2 404, 3 132, 2 129,  760,  318,  164,  128,  76,  51,  29,  21,  38, 9 838
221,2005,   Mauritius*,,480,C,  176,  216,  253,  420,  678, 2 656, 2 785, 1 886,  676,  317,  198,  159,  100,  67,  54,  63, 10 704
222,2010,   Mauritius*,,480,C,  138,  257,  358,  569,  904, 1 144, 2 510, 2 505, 1 626,  656,  356,  218,  150,  91,  65,  101, 11 648
223,2015,   Mauritius*,,480,C,  191,  227,  365,  678, 1 222, 1 504, 1 253, 2 241, 2 149, 1 461,  642,  323,  195,  115,  77,  110, 12 753
224,2020,   Mauritius*,,480,C,  161,  213,  283,  606, 1 194, 1 629, 1 396, 1 030, 1 886, 1 917, 1 408,  559,  267,  136,  90,  115, 12 890
225,1990,   Mayotte*,1,175,B R,  483,  463,  589,  729,  853,  854,  741,  567,  365,  161,  187,  183,  165,  55,  19,  35, 6 449
226,1995,   Mayotte*,1,175,B R,  686,  810, 1 132, 1 433, 1 667, 1 662, 1 425, 1 074,  634,  248,  288,  282,  221,  39,  13,  23, 11 637
227,2000,   Mayotte*,1,175,B R, 1 176, 1 451, 2 099, 2 717, 3 203, 3 209, 2 742, 2 065, 1 234,  487,  559,  528,  367,  51,  14,  26, 21 928
228,2005,   Mayotte*,1,175,B R, 1 580, 1 829, 2 506, 3 407, 4 188, 4 534, 4 211, 3 393, 2 345, 1 225,  751,  770,  658,  295,  52,  68, 31 812
229,2010,   Mayotte*,1,175,B R, 1 622, 1 989, 2 545, 3 477, 4 469, 5 131, 5 152, 4 467, 3 380, 2 096, 1 165,  897,  842,  573,  232,  220, 38 257
230,2015,   Mayotte*,1,175,B R, 1 612, 2 014, 2 542, 3 372, 4 454, 5 382, 5 768, 5 383, 4 400, 3 069, 1 826, 1 159,  975,  795,  473,  505, 43 729
231,2020,   Mayotte*,1,175,B R, 1 644, 2 012, 2 709, 4 345, 6 686, 7 859, 7 529, 6 900, 6 126, 4 968, 3 295, 1 980, 1 282, 1 013,  797,  786, 59 931
232,1990,   Mozambique,,508,B R, 8 969, 6 275, 4 634, 6 917, 11 909, 4 224, 2 923, 2 664, 1 916, 1 684, 1 237,  976,  677,  535,  305,  427, 56 272
233,1995,   Mozambique,,508,B R, 12 280, 8 590, 6 345, 9 470, 16 303, 5 783, 4 003, 3 648, 2 623, 2 305, 1 694, 1 337,  928,  733,  418,  586, 77 046
234,2000,   Mozambique,,508,B R, 13 163, 11 816, 8 990, 6 888, 10 562, 16 051, 7 129, 4 641, 3 796, 2 730, 2 200, 1 714, 1 209,  724,  470,  444, 92 527
235,2005,   Mozambique,,508,B R, 14 320, 12 019, 12 787, 16 539, 24 607, 16 049, 11 489, 9 062, 6 057, 4 857, 3 588, 2 609, 1 745, 1 077,  646,  953, 138 404
236,2010,   Mozambique,,508,B R, 15 255, 14 278, 13 407, 16 184, 18 469, 24 697, 16 243, 11 925, 9 108, 6 511, 4 885, 3 332, 2 111, 1 122,  490,  349, 158 366
237,2015,   Mozambique,,508,B R, 12 495, 13 577, 13 689, 15 329, 18 363, 19 948, 22 235, 15 054, 10 982, 8 828, 6 058, 4 310, 2 722, 1 588,  728,  378, 166 284
238,2020,   Mozambique,,508,B R, 12 652, 10 329, 11 546, 13 599, 17 448, 20 291, 19 453, 19 811, 14 001, 10 971, 8 287, 5 701, 3 979, 2 694, 1 583, 1 015, 173 360
239,1990,   Réunion*,2,638,B, 1 095, 2 591, 3 304, 2 503, 1 768, 2 574, 2 810, 2 755, 1 989, 1 571, 1 326,  847,  464,  307,  211,  371, 26 486
240,1995,   Réunion*,2,638,B, 1 483, 2 499, 4 015, 3 943, 2 898, 2 944, 3 655, 3 782, 3 217, 2 417, 1 968, 1 473,  889,  524,  354,  388, 36 449
241,2000,   Réunion*,2,638,B, 1 626, 3 844, 5 036, 5 201, 3 781, 4 330, 4 936, 4 839, 4 137, 3 279, 2 765, 1 731, 1 038,  674,  481,  716, 48 414
242,2005,   Réunion*,2,638,B, 1 866, 4 408, 5 761, 5 936, 4 317, 4 972, 5 703, 5 647, 4 833, 3 856, 3 244, 2 052, 1 212,  768,  527,  778, 55 880
243,2010,   Réunion*,2,638,B, 2 003, 4 731, 6 171, 6 350, 4 613, 5 330, 6 146, 6 135, 5 279, 4 228, 3 565, 2 262, 1 336,  831,  549,  793, 60 322
244,2015,   Réunion*,2,638,B, 2 073, 4 889, 6 368, 6 547, 4 750, 5 494, 6 360, 6 389, 5 535, 4 453, 3 765, 2 394, 1 417,  876,  561,  801, 62 672
245,2020,   Réunion*,2,638,B, 2 146, 5 064, 6 596, 6 782, 4 921, 5 690, 6 587, 6 618, 5 733, 4 612, 3 900, 2 480, 1 466,  908,  581,  833, 64 917
246,1990,   Rwanda,,646,B R, 6 368, 6 371, 6 412, 6 510, 8 369, 8 804, 7 803, 6 295, 4 875, 3 846, 3 104, 2 460, 1 840, 1 927, 1 861, 2 416, 79 261
247,1995,   Rwanda,,646,B R, 7 345, 7 547, 7 732, 8 435, 12 530, 13 709, 12 104, 9 385, 7 558, 5 527, 4 268, 3 192, 2 269, 1 837, 1 396, 1 118, 105 952
248,2000,   Rwanda,,646,B R, 13 109, 13 250, 12 174, 14 624, 21 916, 22 401, 18 829, 14 460, 10 857, 8 260, 5 930, 5 359, 3 606, 2 805, 2 273, 1 482, 171 335
249,2005,   Rwanda,,646,B R, 15 343, 16 748, 15 290, 18 337, 27 279, 27 529, 23 488, 17 900, 13 221, 10 335, 7 276, 6 273, 3 915, 3 110, 2 345, 1 519, 209 908
250,2010,   Rwanda,,646,B R, 15 928, 17 344, 15 426, 18 876, 28 265, 28 505, 24 679, 18 408, 13 272, 10 358, 7 073, 5 672, 3 367, 2 696, 1 839, 1 145, 212 853
251,2015,   Rwanda,,646,B R, 21 456, 24 096, 20 854, 23 499, 35 400, 34 786, 27 572, 21 404, 15 041, 11 477, 7 691, 6 036, 3 382, 2 474, 1 680, 1 472, 258 320
252,2020,   Rwanda,,646,B R, 20 619, 24 141, 19 744, 23 512, 37 133, 35 821, 27 020, 20 697, 14 667, 11 046, 7 037, 5 434, 2 684, 1 809, 1 134, 1 502, 254 000
253,1990,   Seychelles,,690,B,  96,  93,  81,  57,  107,  183,  228,  196,  134,  86,  64,  59,  39,  31,  29,  34, 1 517
254,1995,   Seychelles,,690,B,  134,  131,  114,  81,  150,  257,  323,  282,  182,  122,  91,  81,  52,  40,  35,  52, 2 127
255,2000,   Seychelles,,690,B,  115,  143,  112,  102,  277,  353,  423,  362,  308,  187,  99,  74,  53,  47,  39,  43, 2 737
256,2005,   Seychelles,,690,B,  111,  142,  136,  123,  327,  403,  514,  431,  373,  221,  120,  89,  63,  43,  36,  45, 3 177
257,2010,   Seychelles,,690,B,  97,  125,  89,  109,  357,  491,  578,  557,  435,  309,  202,  101,  61,  36,  30,  39, 3 616
258,2015,   Seychelles,,690,B,  102,  134,  107,  117,  307,  468,  589,  589,  489,  351,  240,  137,  82,  44,  37,  44, 3 837
259,2020,   Seychelles,,690,B,  105,  112,  130,  110,  151,  328,  504,  573,  562,  460,  361,  244,  143,  77,  48,  6, 3 914
260,1990,   Somalia,,706,I R, 44 719, 32 158, 28 073, 21 719, 21 014, 22 666, 18 823, 14 843, 10 264, 6 525, 4 894, 2 974, 2 816,  938,  787,  880, 234 093
261,1995,   Somalia,,706,I R, 1 753, 1 258, 1 097,  854,  833,  900,  748,  591,  410,  261,  193,  118,  112,  39,  31,  47, 9 245
262,2000,   Somalia,,706,I R, 1 474, 1 014,  832,  807,  963, 1 051,  900,  754,  560,  381,  216,  180,  169,  58,  46,  64, 9 469
263,2005,   Somalia,,706,I R, 1 384, 1 109,  874,  827,  878,  975,  908,  777,  604,  444,  307,  225,  180,  69,  46,  63, 9 670
264,2010,   Somalia,,706,I R, 3 012, 2 780, 2 121, 1 962, 1 876, 2 115, 2 135, 1 859, 1 503, 1 165,  901,  617,  444,  159,  109,  135, 22 893
265,2015,   Somalia,,706,I R, 2 591, 2 353, 1 876, 1 645, 1 547, 1 691, 1 739, 1 561, 1 283, 1 004,  779,  550,  393,  156,  108,  130, 19 406
266,2020,   Somalia,,706,I R, 3 295, 2 688, 2 553, 2 217, 2 316, 2 357, 2 257, 1 984, 1 668, 1 445, 1 133,  891,  634,  432,  208,  227, 26 305
267,1990,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
268,1995,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
269,2000,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
270,2005,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
271,2010,   South Sudan,,728,B R, 11 684, 13 165, 11 429, 11 601, 10 999, 10 127, 8 253, 7 395, 6 394, 5 129, 4 857, 3 829, 2 907, 1 588, 1 066, 1 203, 111 626
272,2015,   South Sudan,,728,B R, 37 354, 41 177, 37 055, 35 411, 37 731, 39 539, 37 932, 34 205, 29 177, 23 611, 18 959, 15 794, 11 154, 5 763, 3 921, 4 385, 413 168
273,2020,   South Sudan,,728,B R, 39 675, 43 736, 39 358, 37 611, 40 076, 41 996, 40 290, 36 331, 30 990, 25 079, 20 137, 16 776, 11 847, 6 121, 4 164, 4 660, 438 847
274,1990,   Uganda,,800,B R, 24 230, 36 223, 20 113, 15 808, 18 254, 20 518, 20 561, 18 585, 17 136, 14 251, 15 453, 8 261, 10 776, 5 611, 6 996, 8 160, 260 936
275,1995,   Uganda,,800,B R, 31 323, 43 853, 26 870, 19 737, 25 041, 26 417, 23 648, 20 746, 18 874, 15 085, 15 277, 8 443, 9 075, 4 835, 5 052, 4 430, 298 706
276,2000,   Uganda,,800,B R, 31 874, 44 914, 27 509, 20 973, 26 808, 26 492, 22 488, 19 602, 17 919, 14 720, 14 138, 8 384, 7 387, 4 084, 3 697, 2 432, 293 421
277,2005,   Uganda,,800,B R, 36 542, 45 999, 28 449, 22 682, 28 737, 27 245, 22 412, 19 261, 17 477, 14 754, 13 762, 8 143, 6 819, 3 736, 3 094, 2 066, 301 178
278,2010,   Uganda,,800,B R, 25 555, 37 699, 19 978, 19 403, 25 532, 24 231, 20 536, 17 297, 15 859, 13 668, 12 545, 7 002, 5 449, 2 603, 1 920, 1 750, 251 027
279,2015,   Uganda,,800,B R, 54 075, 73 046, 46 738, 36 897, 42 874, 38 480, 30 230, 25 555, 20 186, 17 448, 14 841, 8 440, 9 149, 6 123, 4 986, 6 262, 435 330
280,2020,   Uganda,,800,B R, 124 356, 176 628, 113 043, 77 525, 89 271, 78 656, 55 747, 48 226, 34 302, 29 148, 22 998, 13 921, 9 374, 6 743, 5 514, 7 197, 892 649
281,1990,   United Republic of Tanzania*,,834,B R, 21 144, 22 721, 25 350, 27 757, 30 925, 31 557, 28 790, 22 751, 17 612, 14 199, 12 316, 10 592, 9 121, 6 840, 4 359, 4 601, 290 635
282,1995,   United Republic of Tanzania*,,834,B R, 40 699, 43 763, 48 838, 53 356, 59 355, 60 673, 55 504, 43 894, 33 895, 27 303, 23 695, 20 414, 17 501, 12 815, 8 394, 8 855, 558 954
283,2000,   United Republic of Tanzania*,,834,B R, 35 000, 32 182, 34 263, 38 793, 42 934, 46 914, 47 257, 43 088, 34 057, 26 208, 20 734, 18 054, 15 388, 13 183, 9 938, 9 791, 467 784
284,2005,   United Republic of Tanzania*,,834,B R, 20 884, 19 422, 17 884, 19 759, 23 105, 25 366, 27 125, 26 934, 24 303, 19 301, 14 696, 11 646, 9 902, 8 408, 7 330, 8 105, 284 170
285,2010,   United Republic of Tanzania*,,834,B R, 11 217, 9 604, 9 186, 9 254, 10 876, 12 848, 13 927, 14 445, 13 914, 12 515, 9 918, 7 459, 5 789, 4 827, 4 073, 5 404, 155 256
286,2015,   United Republic of Tanzania*,,834,B R, 11 989, 9 956, 9 030, 11 865, 16 025, 18 064, 18 025, 19 349, 18 108, 16 597, 13 830, 10 675, 6 396, 4 969, 3 945, 5 127, 193 950
287,2020,   United Republic of Tanzania*,,834,B R, 13 167, 10 934, 9 918, 13 030, 17 599, 19 839, 19 797, 21 251, 19 887, 18 227, 15 189, 11 724, 7 024, 5 457, 4 332, 5 635, 213 010
288,1990,   Zambia,,894,B R, 10 011, 11 163, 12 833, 13 960, 14 592, 14 291, 13 084, 10 998, 8 904, 7 225, 5 976, 4 886, 3 426, 2 392, 1 072, 1 621, 136 434
289,1995,   Zambia,,894,B R, 8 815, 9 808, 11 244, 12 142, 12 578, 12 249, 11 187, 9 424, 7 712, 6 370, 5 340, 4 398, 3 094, 2 176,  983, 1 489, 119 009
290,2000,   Zambia,,894,B R, 13 371, 14 406, 16 168, 17 264, 17 790, 17 337, 15 607, 12 839, 10 369, 8 635, 7 419, 6 319, 4 439, 3 108, 1 402, 2 116, 168 589
291,2005,   Zambia,,894,B R, 7 693, 9 491, 11 844, 12 685, 13 202, 12 912, 11 774, 9 968, 8 226, 6 834, 5 787, 4 855, 3 431, 2 778, 1 110, 1 677, 124 267
292,2010,   Zambia,,894,B R, 3 575, 5 052, 7 008, 7 529, 7 913, 7 768, 7 174, 6 250, 5 273, 4 369, 3 646, 3 014, 2 141, 1 523,  709, 1 077, 74 021
293,2015,   Zambia,,894,B R, 2 727, 2 998, 3 998, 5 755, 6 911, 7 455, 7 060, 6 297, 5 383, 4 516, 3 612, 2 874, 2 291, 1 586, 1 071,  922, 65 456
294,2020,   Zambia,,894,B R, 4 279, 4 370, 4 583, 5 947, 8 479, 10 015, 10 123, 9 195, 8 010, 6 791, 5 497, 4 236, 3 197, 2 445, 1 618, 1 614, 90 399
295,1990,   Zimbabwe,,716,B R, 16 685, 19 403, 22 984, 25 056, 33 082, 35 925, 31 120, 21 632, 17 288, 13 630, 11 419, 9 417, 9 997, 5 366, 2 146, 3 231, 278 381
296,1995,   Zimbabwe,,716,B R, 11 100, 12 909, 15 291, 16 671, 22 011, 23 901, 20 705, 14 392, 11 502, 9 068, 7 595, 6 265, 6 650, 3 570, 1 427, 2 156, 185 213
297,2000,   Zimbabwe,,716,B R, 8 405, 10 619, 12 746, 13 998, 17 499, 18 843, 19 296, 17 002, 14 545, 10 997, 9 326, 7 828, 7 579, 3 767, 1 506, 2 272, 176 228
298,2005,   Zimbabwe,,716,B R, 7 279, 9 833, 12 101, 13 426, 16 617, 17 846, 18 619, 16 832, 14 817, 11 565, 9 944, 8 312, 7 972, 3 900, 1 559, 2 350, 172 972
299,2010,   Zimbabwe,,716,B R, 6 337, 9 151, 11 546, 12 943, 15 859, 16 987, 18 056, 16 747, 15 170, 12 224, 10 658, 8 872, 8 429, 4 059, 1 622, 2 446, 171 106
300,2015,   Zimbabwe,,716,B R, 6 423, 6 820, 9 003, 11 958, 15 027, 17 596, 17 348, 16 938, 15 332, 14 028, 11 499, 10 188, 8 650, 7 905, 3 565, 2 549, 174 829
301,2020,   Zimbabwe,,716,B R, 6 917, 7 162, 7 479, 10 169, 14 199, 16 892, 17 772, 16 483, 15 568, 14 258, 13 041, 10 990, 9 844, 8 164, 6 543, 4 099, 179 580
309,1990,   Angola,,24,B R,  698, 1 223, 1 911, 2 322, 2 185, 1 715, 1 265,  848,  676,  634,  577,  422,  364,  232,  174,  129, 15 375
310,1995,   Angola,,24,B R,  895, 1 424, 2 158, 2 623, 2 794, 2 404, 1 688, 1 090,  812,  688,  612,  524,  459,  382,  290,  215, 19 058
