Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
207,2005,   Madagascar,,450,C R,  557,  587,  603,  578,  650,  917, 1 043,  957,  887,  960, 1 190, 1 404, 1 427, 1 240,  928,  816, 14 744
208,2010,   Madagascar,,450,C R,  608,  643,  678,  673,  696,  881, 1 107, 1 130, 1 043, 1 042, 1 206, 1 451, 1 582, 1 486, 1 207,  977, 16 410
209,2015,   Madagascar,,450,C R,  666,  707,  755,  770,  779,  892, 1 125, 1 267, 1 229, 1 180, 1 267, 1 492, 1 700, 1 717, 1 506, 1 218, 18 270
210,2020,   Madagascar,,450,C R,  689,  757,  802,  981, 1 331, 1 476, 1 386, 1 380, 1 401, 1 380, 1 306, 1 351, 1 476, 1 533, 1 377, 1 636, 20 262
211,1990,   Malawi,,454,B R, 76 753, 65 246, 59 561, 64 862, 58 236, 51 855, 41 527, 32 424, 24 988, 17 060, 15 043, 12 879, 10 621, 3 974, 2 859, 8 632, 546 520
212,1995,   Malawi,,454,B R, 7 416, 7 656, 8 835, 10 601, 11 717, 11 501, 10 239, 8 526, 6 884, 5 508, 4 307, 3 298, 3 131, 4 353, 5 846, 6 380, 116 198
213,2000,   Malawi,,454,B R, 7 217, 7 036, 7 583, 9 283, 10 971, 11 404, 10 560, 9 000, 7 287, 5 859, 4 657, 3 562, 2 735, 3 233, 5 064, 6 079, 111 530
214,2005,   Malawi,,454,B R, 6 962, 6 718, 6 582, 7 730, 9 803, 10 925, 10 610, 9 338, 7 669, 6 097, 4 964, 3 827, 2 896, 2 270, 3 819, 5 721, 105 931
215,2010,   Malawi,,454,B R, 6 964, 6 646, 6 520, 6 397, 8 343, 10 492, 10 796, 10 207, 8 180, 6 699, 5 173, 4 453, 3 004, 2 636, 1 777, 5 582, 103 869
216,2015,   Malawi,,454,B R, 4 867, 4 865, 5 846, 7 446, 7 710, 9 507, 9 732, 8 973, 7 637, 6 634, 5 143, 4 198, 3 306, 2 249, 1 796, 3 780, 93 689
217,2020,   Malawi,,454,B R, 4 964, 5 911, 5 837, 7 699, 8 385, 8 488, 9 024, 8 612, 7 245, 6 625, 5 618, 4 681, 3 227, 2 666, 1 590, 3 040, 93 612
218,1990,   Mauritius*,,480,C,  155,  188,  154,  96,  106,  146,  157,  147,  129,  99,  85,  65,  69,  64,  40,  63, 1 763
219,1995,   Mauritius*,,480,C,  140,  237,  245,  157,  228,  325,  355,  383,  332,  277,  176,  116,  73,  69,  48,  67, 3 228
220,2000,   Mauritius*,,480,C,  108,  153,  123,  79,  981, 1 261, 1 299,  629,  355,  224,  171,  108,  73,  53,  34,  54, 5 705
221,2005,   Mauritius*,,480,C,  183,  233,  226,  279,  355, 1 370, 2 072, 1 839,  868,  486,  300,  253,  163,  128,  92,  96, 8 943
222,2010,   Mauritius*,,480,C,  168,  325,  380,  462,  597,  748, 2 256, 2 886, 2 416, 1 155,  619,  397,  279,  197,  125,  178, 13 188
223,2015,   Mauritius*,,480,C,  241,  296,  400,  570,  840, 1 024, 1 164, 2 664, 3 281, 2 633, 1 142,  601,  371,  256,  153,  196, 15 832
224,2020,   Mauritius*,,480,C,  193,  265,  295,  479,  765, 1 034, 1 219, 1 165, 2 748, 3 299, 2 397,  996,  488,  292,  169,  199, 16 003
225,1990,   Mayotte*,1,175,B R,  455,  440,  577,  839, 1 135, 1 252, 1 132,  926,  636,  290,  335,  309,  270,  92,  34,  58, 8 780
226,1995,   Mayotte*,1,175,B R,  816,  896, 1 126, 1 499, 1 897, 2 035, 1 845, 1 517, 1 074,  460,  542,  463,  367,  70,  26,  46, 14 679
227,2000,   Mayotte*,1,175,B R, 1 302, 1 466, 1 833, 2 420, 3 046, 3 255, 2 942, 2 413, 1 700,  733,  858,  739,  616,  106,  43,  74, 23 546
228,2005,   Mayotte*,1,175,B R, 1 770, 1 818, 2 124, 2 723, 3 508, 4 059, 4 004, 3 471, 2 665, 1 583, 1 031, 1 043,  863,  475,  92,  135, 31 364
229,2010,   Mayotte*,1,175,B R, 1 769, 1 947, 2 110, 2 575, 3 309, 4 032, 4 307, 4 010, 3 300, 2 302, 1 416, 1 126, 1 033,  715,  281,  268, 34 500
230,2015,   Mayotte*,1,175,B R, 1 730, 1 998, 2 162, 2 491, 3 119, 3 895, 4 433, 4 434, 3 900, 2 997, 1 995, 1 362, 1 159,  937,  513,  532, 37 657
231,2020,   Mayotte*,1,175,B R, 1 763, 1 992, 2 301, 3 202, 4 669, 5 674, 5 775, 5 673, 5 418, 4 841, 3 591, 2 319, 1 520, 1 189,  859,  823, 51 609
232,1990,   Mozambique,,508,B R, 8 931, 6 591, 4 740, 8 828, 15 066, 5 496, 3 322, 3 082, 2 345, 2 201, 1 719, 1 330,  905,  674,  363,  467, 66 060
233,1995,   Mozambique,,508,B R, 12 340, 9 106, 6 548, 12 186, 20 798, 7 586, 4 587, 4 255, 3 237, 3 039, 2 371, 1 835, 1 249,  929,  501,  643, 91 210
234,2000,   Mozambique,,508,B R, 12 426, 11 785, 8 725, 8 385, 12 746, 19 923, 7 702, 5 108, 4 427, 3 404, 2 919, 2 228, 1 541,  868,  531,  457, 103 175
235,2005,   Mozambique,,508,B R, 13 565, 11 660, 11 763, 13 704, 20 075, 14 038, 11 508, 9 655, 6 790, 5 320, 4 059, 3 077, 2 163, 1 234,  702,  977, 130 290
236,2010,   Mozambique,,508,B R, 14 144, 13 563, 12 069, 13 110, 14 731, 21 127, 15 935, 12 454, 10 014, 6 991, 5 420, 3 851, 2 568, 1 260,  524,  344, 148 105
237,2015,   Mozambique,,508,B R, 11 404, 12 698, 12 127, 12 206, 14 397, 16 787, 21 478, 15 489, 11 899, 9 338, 6 621, 4 914, 3 265, 1 757,  762,  368, 155 510
238,2020,   Mozambique,,508,B R, 11 657, 9 771, 10 281, 10 855, 13 697, 17 094, 18 854, 20 476, 15 237, 11 654, 9 096, 6 526, 4 720, 2 945, 1 638,  989, 165 490
239,1990,   Réunion*,2,638,B, 1 145, 2 669, 3 483, 2 698, 1 959, 2 833, 3 133, 3 236, 2 473, 2 111, 1 887, 1 270,  698,  437,  269,  423, 30 724
240,1995,   Réunion*,2,638,B, 1 500, 2 496, 4 007, 4 040, 3 048, 3 139, 3 903, 4 165, 3 744, 3 006, 2 624, 2 076, 1 294,  745,  460,  463, 40 710
241,2000,   Réunion*,2,638,B, 1 759, 4 103, 5 219, 5 223, 3 691, 4 207, 4 880, 5 055, 4 567, 3 904, 3 504, 2 398, 1 498,  949,  566,  741, 52 264
242,2005,   Réunion*,2,638,B, 2 003, 4 675, 5 960, 5 978, 4 223, 4 785, 5 516, 5 661, 5 115, 4 354, 3 921, 2 667, 1 686, 1 087,  669,  896, 59 196
243,2010,   Réunion*,2,638,B, 2 133, 4 979, 6 360, 6 387, 4 517, 5 101, 5 848, 5 954, 5 356, 4 549, 4 095, 2 783, 1 762, 1 152,  729, 1 002, 62 707
244,2015,   Réunion*,2,638,B, 2 203, 5 150, 6 588, 6 622, 4 690, 5 291, 6 041, 6 110, 5 461, 4 622, 4 155, 2 822, 1 786, 1 174,  760, 1 062, 64 537
245,2020,   Réunion*,2,638,B, 2 283, 5 334, 6 824, 6 859, 4 857, 5 481, 6 258, 6 329, 5 657, 4 788, 4 303, 2 922, 1 851, 1 215,  787, 1 104, 66 852
246,1990,   Rwanda,,646,B R, 6 131, 5 913, 5 800, 6 228, 8 534, 10 336, 9 926, 8 219, 5 696, 3 880, 2 824, 1 991, 1 809, 1 370, 1 081, 1 025, 80 763
247,1995,   Rwanda,,646,B R, 6 959, 6 942, 6 887, 7 752, 12 547, 15 541, 14 864, 12 011, 9 072, 5 871, 3 955, 2 596, 2 007, 1 379,  878,  522, 109 783
248,2000,   Rwanda,,646,B R, 12 389, 12 359, 11 059, 13 189, 20 644, 23 758, 22 259, 18 168, 13 735, 9 597, 6 069, 4 748, 3 001, 2 307, 1 633,  826, 175 741
249,2005,   Rwanda,,646,B R, 15 394, 16 072, 14 133, 16 969, 25 333, 28 268, 25 480, 21 186, 16 281, 11 880, 7 717, 6 210, 3 600, 2 430, 1 552,  774, 213 279
250,2010,   Rwanda,,646,B R, 16 239, 16 946, 14 351, 17 840, 26 077, 28 533, 24 674, 20 607, 15 928, 11 779, 7 741, 6 231, 3 428, 2 003, 1 124,  547, 214 048
251,2015,   Rwanda,,646,B R, 22 101, 24 341, 20 362, 22 310, 30 173, 32 042, 27 729, 22 552, 17 652, 13 516, 9 206, 6 937, 3 462, 2 066, 1 102,  776, 256 327
252,2020,   Rwanda,,646,B R, 22 310, 25 190, 20 454, 23 483, 32 167, 33 170, 27 735, 22 271, 17 218, 13 448, 9 151, 6 721, 2 997, 1 722,  899,  971, 259 907
253,1990,   Seychelles,,690,B,  96,  96,  92,  74,  152,  272,  349,  319,  235,  157,  115,  99,  63,  40,  24,  21, 2 204
254,1995,   Seychelles,,690,B,  131,  130,  125,  101,  209,  373,  475,  431,  329,  215,  157,  137,  89,  55,  36,  28, 3 021
255,2000,   Seychelles,,690,B,  118,  149,  124,  130,  402,  544,  640,  524,  445,  270,  143,  105,  72,  72,  52,  47, 3 837
256,2005,   Seychelles,,690,B,  156,  193,  194,  202,  624,  852,  975,  809,  681,  420,  220,  162,  113,  90,  67,  62, 5 820
257,2010,   Seychelles,,690,B,  162,  200,  150,  208,  793, 1 200, 1 281, 1 218,  927,  680,  433,  214,  127,  89,  66,  56, 7 804
258,2015,   Seychelles,,690,B,  187,  237,  199,  243,  739, 1 239, 1 413, 1 396, 1 131,  839,  555,  315,  184,  116,  85,  76, 8 954
259,2020,   Seychelles,,690,B,  186,  195,  239,  224,  361,  856, 1 192, 1 325, 1 277, 1 082,  821,  552,  316,  197,  109,  204, 9 136
260,1990,   Somalia,,706,I R, 43 174, 30 500, 22 053, 15 762, 16 738, 22 087, 23 377, 22 573, 17 158, 11 154, 8 040, 4 535, 3 918, 1 273,  908,  951, 244 201
261,1995,   Somalia,,706,I R, 1 804, 1 274,  925,  669,  714,  935,  985,  950,  723,  472,  336,  194,  167,  58,  39,  37, 10 282
262,2000,   Somalia,,706,I R, 1 456,  984,  675,  609,  795, 1 060, 1 152, 1 181,  965,  674,  369,  287,  240,  78,  52,  51, 10 628
263,2005,   Somalia,,706,I R, 1 379, 1 090,  743,  673,  774,  996, 1 123, 1 157, 1 017,  778,  532,  368,  266,  95,  54,  53, 11 098
264,2010,   Somalia,,706,I R, 2 848, 2 582, 1 748, 1 590, 1 638, 2 049, 2 403, 2 503, 2 346, 1 928, 1 500,  974,  636,  219,  123,  126, 25 213
265,2015,   Somalia,,706,I R, 2 443, 2 179, 1 567, 1 359, 1 373, 1 657, 1 955, 2 077, 1 987, 1 680, 1 325,  902,  588,  229,  129,  134, 21 584
266,2020,   Somalia,,706,I R, 3 380, 2 884, 2 485, 2 105, 2 199, 2 475, 2 727, 2 842, 2 784, 2 608, 2 083, 1 577,  981,  648,  259,  248, 32 285
267,1990,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
268,1995,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
269,2000,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
270,2005,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
271,2010,   South Sudan,,728,B R, 10 387, 11 490, 11 648, 12 562, 11 681, 10 694, 8 777, 7 994, 7 163, 6 007, 5 871, 4 988, 4 150, 2 610, 1 509, 1 575, 119 106
272,2015,   South Sudan,,728,B R, 29 811, 32 220, 37 241, 40 247, 42 736, 44 615, 42 625, 38 224, 32 334, 25 883, 20 497, 17 225, 12 428, 6 961, 3 886, 4 011, 430 944
273,2020,   South Sudan,,728,B R, 30 524, 32 977, 38 294, 41 465, 44 026, 45 960, 43 906, 39 370, 33 300, 26 651, 21 101, 17 734, 12 800, 7 177, 3 995, 4 125, 443 405
274,1990,   Uganda,,800,B R, 24 501, 37 887, 21 781, 14 547, 11 626, 14 300, 17 365, 19 238, 21 023, 20 011, 21 557, 13 672, 13 254, 8 315, 9 251, 15 009, 283 337
275,1995,   Uganda,,800,B R, 31 652, 45 998, 28 885, 19 383, 16 739, 18 386, 19 471, 20 115, 21 543, 19 555, 21 366, 13 013, 11 993, 6 649, 6 589, 6 944, 308 281
276,2000,   Uganda,,800,B R, 31 777, 46 217, 29 024, 21 110, 18 704, 18 078, 17 630, 17 597, 18 776, 17 513, 19 297, 11 922, 10 197, 5 170, 4 662, 3 185, 290 859
277,2005,   Uganda,,800,B R, 36 082, 47 208, 29 975, 22 792, 21 142, 19 466, 17 669, 16 803, 17 256, 16 313, 17 781, 11 212, 8 722, 4 292, 3 457, 1 960, 292 130
278,2010,   Uganda,,800,B R, 24 825, 36 345, 19 565, 19 139, 21 474, 19 563, 16 657, 14 929, 14 936, 14 391, 15 577, 9 596, 7 204, 3 305, 2 343, 2 054, 241 903
279,2015,   Uganda,,800,B R, 54 332, 72 710, 47 264, 36 473, 32 030, 29 592, 25 816, 22 953, 19 790, 17 999, 18 380, 11 409, 11 183, 5 993, 4 588, 5 333, 415 845
280,2020,   Uganda,,800,B R, 125 965, 178 744, 116 706, 76 616, 54 407, 52 695, 46 904, 43 662, 34 869, 29 679, 28 876, 18 250, 8 322, 4 466, 3 275, 4 228, 827 664
281,1990,   United Republic of Tanzania*,,834,B R, 20 588, 21 591, 23 466, 24 875, 27 391, 28 738, 27 453, 22 431, 17 619, 14 543, 13 144, 11 913, 10 653, 7 991, 5 358, 5 636, 283 390
282,1995,   United Republic of Tanzania*,,834,B R, 39 711, 41 618, 45 221, 48 056, 53 009, 55 504, 52 866, 43 163, 33 988, 28 077, 25 361, 22 949, 20 599, 15 761, 10 328, 10 878, 547 089
283,2000,   United Republic of Tanzania*,,834,B R, 35 585, 31 888, 33 071, 36 549, 40 202, 44 868, 46 870, 44 078, 35 613, 28 112, 23 113, 21 073, 18 796, 16 827, 12 687, 12 484, 481 816
284,2005,   United Republic of Tanzania*,,834,B R, 35 708, 32 581, 29 419, 31 891, 36 992, 41 040, 44 907, 45 555, 41 692, 33 559, 26 167, 21 465, 18 958, 16 596, 14 473, 15 980, 486 983
285,2010,   United Republic of Tanzania*,,834,B R, 11 767, 9 862, 9 231, 9 075, 10 411, 12 129, 13 231, 13 979, 13 616, 12 254, 9 797, 7 586, 6 094, 5 252, 4 436, 5 871, 154 591
286,2015,   United Republic of Tanzania*,,834,B R, 14 742, 12 002, 10 670, 11 468, 15 488, 19 510, 19 468, 15 532, 14 534, 13 322, 11 100, 8 569, 7 891, 5 782, 4 589, 5 950, 190 617
287,2020,   United Republic of Tanzania*,,834,B R, 16 445, 13 390, 11 905, 12 817, 17 310, 21 784, 21 737, 17 389, 16 273, 14 916, 12 428, 9 594, 8 802, 6 452, 5 121, 6 644, 213 007
288,1990,   Zambia,,894,B R, 9 982, 11 156, 12 857, 14 087, 14 833, 14 571, 13 289, 11 234, 9 455, 8 198, 7 098, 5 888, 4 149, 2 917, 1 329, 1 986, 143 029
289,1995,   Zambia,,894,B R, 8 665, 9 705, 11 217, 12 379, 13 148, 12 985, 11 871, 10 013, 8 339, 7 114, 6 090, 5 021, 3 528, 2 465, 1 116, 1 673, 125 329
290,2000,   Zambia,,894,B R, 12 727, 13 867, 15 782, 17 485, 18 794, 18 781, 17 000, 13 949, 11 228, 9 328, 7 983, 6 712, 4 680, 3 238, 1 426, 2 134, 175 114
291,2005,   Zambia,,894,B R, 7 376, 9 065, 11 279, 12 265, 13 253, 13 530, 12 650, 10 773, 8 908, 7 427, 6 304, 5 357, 3 844, 3 300, 1 319, 1 978, 128 628
292,2010,   Zambia,,894,B R, 3 437, 4 764, 6 479, 6 909, 7 504, 7 835, 7 570, 6 693, 5 683, 4 757, 4 005, 3 437, 2 536, 1 899,  974, 1 459, 75 941
293,2015,   Zambia,,894,B R, 2 565, 2 767, 3 616, 5 166, 6 411, 7 361, 7 295, 6 605, 5 683, 4 818, 3 885, 3 212, 2 660, 1 940, 1 442, 1 225, 66 651
294,2020,   Zambia,,894,B R, 4 501, 4 565, 4 689, 5 819, 8 197, 10 307, 10 899, 10 052, 8 815, 7 550, 6 166, 4 934, 3 722, 3 000, 2 183, 2 157, 97 556
295,1990,   Zimbabwe,,716,B R, 15 345, 17 923, 21 376, 24 969, 37 662, 47 648, 46 664, 35 592, 30 137, 23 887, 18 891, 13 723, 11 951, 5 238, 2 095, 3 139, 356 240
296,1995,   Zimbabwe,,716,B R, 10 664, 12 454, 14 851, 17 321, 26 059, 32 886, 32 149, 24 491, 20 723, 16 424, 13 000, 9 458, 8 263, 3 635, 1 454, 2 181, 246 013
297,2000,   Zimbabwe,,716,B R, 7 765, 9 850, 11 906, 14 008, 19 997, 25 081, 29 033, 28 064, 25 436, 19 334, 15 485, 11 447, 9 099, 3 689, 1 476, 2 211, 233 881
298,2005,   Zimbabwe,,716,B R, 6 657, 9 027, 11 188, 13 302, 18 815, 23 550, 27 785, 27 563, 25 711, 20 175, 16 380, 12 054, 9 484, 3 783, 1 513, 2 267, 229 254
299,2010,   Zimbabwe,,716,B R, 5 758, 8 348, 10 609, 12 744, 17 858, 22 299, 26 811, 27 293, 26 199, 21 223, 17 467, 12 798, 9 970, 3 913, 1 566, 2 345, 227 201
300,2015,   Zimbabwe,,716,B R, 5 597, 5 973, 7 938, 11 316, 16 298, 22 308, 24 921, 26 736, 25 666, 23 609, 18 255, 14 214, 9 863, 7 317, 3 301, 2 341, 225 653
301,2020,   Zimbabwe,,716,B R, 6 223, 6 478, 6 810, 9 895, 15 758, 21 856, 25 991, 26 492, 26 538, 24 425, 21 094, 15 649, 11 490, 7 759, 6 220, 3 883, 236 561
