Index,Year,"Region, development group, country or area",Notes,Location code,Type of data,0-4,5-9,10-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
165,2005,   Burundi,,108,B R, 23 314, 15 343, 18 719, 14 936, 13 975, 17 104, 19 358, 18 317, 14 647, 11 118, 7 618, 5 824, 4 105, 3 404, 2 932, 2 060, 192 774
166,2010,   Burundi,,108,B R, 29 503, 16 917, 13 353, 18 361, 19 854, 21 673, 23 879, 24 014, 21 092, 17 403, 13 319, 9 310, 6 653, 4 629, 3 422, 3 939, 247 321
167,2015,   Burundi,,108,B R, 35 518, 22 070, 14 870, 16 373, 26 088, 30 238, 29 106, 26 991, 24 497, 21 062, 16 391, 12 241, 8 513, 5 875, 3 908, 4 558, 298 299
168,2020,   Burundi,,108,B R, 40 400, 29 132, 20 979, 18 996, 24 868, 34 058, 34 575, 30 586, 26 810, 23 609, 19 067, 14 473, 10 305, 7 025, 4 689, 5 195, 344 767
169,1990,   Comoros,,174,B,  600,  844, 1 053, 1 159, 1 237, 1 594, 1 708, 1 592, 1 268,  985,  752,  496,  341,  225,  90,  135, 14 079
170,1995,   Comoros,,174,B,  574,  812, 1 038, 1 144, 1 235, 1 566, 1 695, 1 575, 1 261,  954,  761,  530,  351,  222,  88,  133, 13 939
171,2000,   Comoros,,174,B,  550,  782, 1 024, 1 131, 1 235, 1 540, 1 662, 1 559, 1 256,  924,  772,  565,  362,  219,  87,  131, 13 799
172,2005,   Comoros,,174,B,  496,  739,  937, 1 043, 1 203, 1 425, 1 546, 1 464, 1 231,  959,  761,  559,  376,  235,  94,  141, 13 209
173,2010,   Comoros,,174,B,  444,  698,  851,  956, 1 173, 1 312, 1 411, 1 370, 1 207,  996,  752,  555,  392,  251,  100,  150, 12 618
174,2015,   Comoros,,174,B,  437,  642,  810,  924, 1 118, 1 269, 1 376, 1 361, 1 224, 1 026,  792,  588,  421,  284,  113,  170, 12 555
175,2020,   Comoros,,174,B,  304,  418,  624,  828, 1 150, 1 363, 1 351, 1 298, 1 270, 1 086,  896,  691,  507,  350,  220,  140, 12 496
176,1990,   Djibouti,,262,B R, 5 415, 7 310, 11 681, 17 361, 20 195, 19 015, 13 631, 8 289, 4 618, 3 714, 3 244, 2 837, 2 232, 1 191,  595,  893, 122 221
177,1995,   Djibouti,,262,B R, 4 430, 5 822, 8 512, 12 266, 14 616, 14 810, 11 940, 8 392, 5 262, 3 780, 2 915, 2 574, 2 025, 1 080,  540,  810, 99 774
178,2000,   Djibouti,,262,B R, 4 473, 5 702, 7 433, 10 232, 12 638, 14 125, 12 931, 10 267, 6 964, 4 642, 3 235, 2 880, 2 266, 1 209,  604,  906, 100 507
179,2005,   Djibouti,,262,B R, 3 995, 5 528, 7 325, 9 560, 11 381, 11 999, 11 007, 8 870, 6 500, 4 614, 3 432, 2 893, 2 275, 1 214,  607,  910, 92 110
180,2010,   Djibouti,,262,B R, 4 327, 6 465, 8 689, 10 818, 12 435, 12 293, 11 316, 9 274, 7 347, 5 514, 4 314, 3 485, 2 741, 1 462,  731, 1 096, 102 307
181,2015,   Djibouti,,262,B R, 5 182, 6 634, 8 974, 11 310, 13 169, 13 391, 12 520, 10 526, 8 417, 6 402, 4 964, 3 978, 3 129, 1 669,  834, 1 252, 112 351
182,2020,   Djibouti,,262,B R, 3 924, 5 678, 7 067, 9 667, 14 297, 16 484, 14 807, 12 194, 10 001, 7 356, 5 411, 4 283, 3 465, 2 685, 1 353, 1 066, 119 738
183,1990,   Eritrea,,232,I R,  718,  625,  819, 1 149, 1 513, 1 676, 1 506, 1 189,  808,  529,  376,  338,  270,  166,  66,  100, 11 848
184,1995,   Eritrea,,232,I R,  710,  618,  901, 1 164, 1 457, 1 615, 1 517, 1 271,  941,  681,  490,  397,  305,  167,  66,  100, 12 400
185,2000,   Eritrea,,232,I R,  703,  611,  984, 1 181, 1 404, 1 558, 1 533, 1 357, 1 075,  833,  604,  457,  319,  167,  66,  100, 12 952
186,2005,   Eritrea,,232,I R,  966,  874, 1 201, 1 490, 1 711, 1 841, 1 771, 1 546, 1 262,  996,  773,  607,  424,  222,  88,  133, 15 905
187,2010,   Eritrea,,232,I R, 1 047,  971, 1 188, 1 515, 1 690, 1 764, 1 671, 1 438, 1 207,  967,  794,  643,  449,  235,  93,  141, 15 813
188,2015,   Eritrea,,232,I R, 1 063,  986, 1 146, 1 449, 1 653, 1 742, 1 687, 1 481, 1 252, 1 016,  829,  674,  471,  246,  98,  148, 15 941
189,2020,   Eritrea,,232,I R,  783,  468,  929, 1 501, 1 625, 1 681, 1 582, 1 358, 1 116,  904,  729,  570,  394,  169,  39,  86, 13 934
190,1990,   Ethiopia,,231,B R, 77 249, 82 902, 102 266, 134 231, 146 833, 141 491, 116 312, 89 373, 66 453, 50 187, 39 590, 32 523, 29 004, 23 488, 9 395, 14 093,1 155 390
191,1995,   Ethiopia,,231,B R, 51 997, 56 053, 67 581, 86 440, 95 992, 97 163, 84 249, 67 894, 51 614, 39 316, 30 671, 24 787, 21 525, 15 811, 6 324, 9 487, 806 904
192,2000,   Ethiopia,,231,B R, 36 817, 40 034, 46 133, 55 843, 64 072, 71 437, 67 821, 58 681, 45 986, 35 428, 27 232, 21 520, 17 986, 11 197, 4 479, 6 718, 611 384
193,2005,   Ethiopia,,231,B R, 29 631, 34 724, 41 191, 48 820, 55 055, 57 670, 54 338, 46 790, 37 995, 30 028, 23 896, 19 300, 16 217, 9 398, 3 759, 5 639, 514 451
194,2010,   Ethiopia,,231,B R, 31 058, 39 699, 48 533, 56 284, 62 308, 60 661, 56 629, 48 465, 41 124, 33 472, 27 656, 22 842, 19 296, 10 361, 4 144, 6 216, 568 748
195,2015,   Ethiopia,,231,B R, 138 014, 180 273, 138 216, 95 274, 90 787, 92 589, 89 660, 80 412, 70 221, 58 442, 46 536, 35 562, 22 809, 11 283, 4 794, 6 770,1 161 642
196,2020,   Ethiopia,,231,B R, 119 790, 164 379, 124 045, 95 431, 94 378, 94 575, 89 203, 77 590, 66 117, 54 243, 42 327, 31 321, 18 856, 7 414, 2 115, 3 733,1 085 517
197,1990,   Kenya,,404,B R, 17 663, 21 537, 28 055, 42 825, 33 859, 33 505, 26 931, 21 366, 16 088, 13 739, 11 212, 8 989, 7 518, 5 823, 4 129, 4 850, 298 089
198,1995,   Kenya,,404,B R, 48 753, 64 077, 57 213, 58 497, 75 830, 66 662, 59 477, 45 553, 37 132, 26 621, 21 725, 18 397, 13 621, 9 952, 7 499, 7 736, 618 745
199,2000,   Kenya,,404,B R, 46 052, 59 409, 55 112, 61 745, 74 945, 90 752, 75 357, 63 342, 46 490, 37 412, 25 169, 23 989, 16 586, 12 180, 10 251, 9 061, 707 852
200,2005,   Kenya,,404,B R, 47 956, 64 038, 58 667, 62 474, 72 914, 83 971, 92 059, 72 822, 59 548, 43 977, 34 706, 24 698, 20 199, 13 223, 10 437, 11 665, 773 354
201,2010,   Kenya,,404,B R, 69 342, 86 680, 76 590, 75 807, 78 788, 89 906, 96 016, 97 988, 75 890, 61 301, 45 239, 35 668, 22 105, 17 076, 11 704, 14 825, 954 925
202,2015,   Kenya,,404,B R, 95 293, 113 645, 90 484, 89 129, 91 712, 96 279, 97 358, 96 682, 97 396, 74 819, 59 637, 45 013, 31 031, 17 441, 14 537, 16 430,1 126 886
203,2020,   Kenya,,404,B R, 80 856, 96 700, 75 677, 72 253, 82 803, 93 202, 90 032, 85 879, 85 346, 86 033, 64 567, 51 511, 33 848, 21 904, 12 746, 16 790,1 050 147
204,1990,   Madagascar,,450,C R, 1 241, 1 287, 1 059, 1 323, 1 841, 1 865, 1 704, 1 564, 1 673, 1 950, 1 986, 1 781, 1 359,  986, 1 071, 1 227, 23 917
205,1995,   Madagascar,,450,C R, 1 164, 1 207, 1 058,  804, 1 524, 1 715, 1 575, 1 419, 1 333, 1 609, 1 821, 1 673, 1 460,  931,  804, 1 080, 21 177
206,2000,   Madagascar,,450,C R, 1 270, 1 317, 1 258, 1 034, 1 293, 1 798, 1 830, 1 657, 1 528, 1 634, 1 905, 1 940, 1 740, 1 328,  963, 1 046, 23 541
207,2005,   Madagascar,,450,C R, 1 374, 1 426, 1 420, 1 263, 1 283, 1 705, 2 003, 1 919, 1 756, 1 744, 1 952, 2 120, 2 030, 1 692, 1 263, 1 108, 26 058
208,2010,   Madagascar,,450,C R, 1 490, 1 546, 1 571, 1 482, 1 406, 1 650, 2 052, 2 163, 2 031, 1 933, 2 042, 2 250, 2 293, 2 055, 1 632, 1 309, 28 905
209,2015,   Madagascar,,450,C R, 1 619, 1 681, 1 726, 1 690, 1 598, 1 692, 2 055, 2 330, 2 322, 2 194, 2 200, 2 376, 2 515, 2 407, 2 042, 1 628, 32 075
210,2020,   Madagascar,,450,C R, 1 638, 1 754, 1 790, 2 109, 2 698, 2 756, 2 493, 2 498, 2 606, 2 527, 2 238, 2 128, 2 166, 2 135, 1 856, 2 171, 35 563
211,1990,   Malawi,,454,B R, 167 574, 141 449, 126 627, 134 246, 117 183, 102 482, 81 556, 63 675, 49 072, 33 501, 29 852, 26 092, 21 760, 8 298, 5 985, 18 372,1 127 724
212,1995,   Malawi,,454,B R, 15 023, 15 720, 18 425, 21 976, 23 677, 22 720, 20 165, 17 072, 14 137, 11 582, 9 238, 7 222, 6 991, 9 854, 13 296, 14 526, 241 624
213,2000,   Malawi,,454,B R, 14 519, 14 373, 15 859, 19 577, 22 685, 22 849, 20 843, 17 938, 14 894, 12 293, 9 981, 7 785, 6 105, 7 342, 11 609, 13 968, 232 620
214,2005,   Malawi,,454,B R, 13 995, 13 632, 13 716, 16 457, 20 792, 22 369, 21 105, 18 553, 15 578, 12 761, 10 628, 8 363, 6 451, 5 165, 8 805, 13 291, 221 661
215,2010,   Malawi,,454,B R, 13 973, 13 459, 13 261, 13 625, 18 633, 22 122, 21 730, 19 644, 16 723, 13 812, 11 202, 9 632, 6 762, 5 883, 4 243, 13 018, 217 722
216,2015,   Malawi,,454,B R, 10 399, 10 491, 12 157, 15 401, 16 991, 19 960, 19 578, 17 310, 15 591, 13 653, 11 080, 9 025, 7 490, 5 046, 4 310, 8 846, 197 328
217,2020,   Malawi,,454,B R, 9 980, 11 767, 11 419, 15 042, 17 779, 17 321, 17 810, 16 377, 14 506, 13 399, 11 870, 9 849, 7 314, 5 986, 3 818, 7 125, 191 362
218,1990,   Mauritius*,,480,C,  320,  388,  304,  199,  224,  330,  360,  311,  260,  189,  155,  119,  126,  117,  78,  133, 3 613
219,1995,   Mauritius*,,480,C,  311,  522,  560,  408,  657,  986,  928,  882,  683,  528,  330,  216,  134,  121,  91,  136, 7 493
220,2000,   Mauritius*,,480,C,  228,  316,  284,  223, 3 385, 4 393, 3 428, 1 389,  673,  388,  299,  184,  124,  82,  55,  92, 15 543
221,2005,   Mauritius*,,480,C,  359,  449,  479,  699, 1 033, 4 026, 4 857, 3 725, 1 544,  803,  498,  412,  263,  195,  146,  159, 19 647
222,2010,   Mauritius*,,480,C,  306,  582,  738, 1 031, 1 501, 1 892, 4 766, 5 391, 4 042, 1 811,  975,  615,  429,  288,  190,  279, 24 836
223,2015,   Mauritius*,,480,C,  432,  523,  765, 1 248, 2 062, 2 528, 2 417, 4 905, 5 430, 4 094, 1 784,  924,  566,  371,  230,  306, 28 585
224,2020,   Mauritius*,,480,C,  354,  478,  578, 1 085, 1 959, 2 663, 2 615, 2 195, 4 634, 5 216, 3 805, 1 555,  755,  428,  259,  314, 28 893
225,1990,   Mayotte*,1,175,B R,  938,  903, 1 166, 1 568, 1 988, 2 106, 1 873, 1 493, 1 001,  451,  522,  492,  435,  147,  53,  93, 15 229
226,1995,   Mayotte*,1,175,B R, 1 502, 1 706, 2 258, 2 932, 3 564, 3 697, 3 270, 2 591, 1 708,  708,  830,  745,  588,  109,  39,  69, 26 316
227,2000,   Mayotte*,1,175,B R, 2 478, 2 917, 3 932, 5 137, 6 249, 6 464, 5 684, 4 478, 2 934, 1 220, 1 417, 1 267,  983,  157,  57,  100, 45 474
228,2005,   Mayotte*,1,175,B R, 3 350, 3 647, 4 630, 6 130, 7 696, 8 593, 8 215, 6 864, 5 010, 2 808, 1 782, 1 813, 1 521,  770,  144,  203, 63 176
229,2010,   Mayotte*,1,175,B R, 3 391, 3 936, 4 655, 6 052, 7 778, 9 163, 9 459, 8 477, 6 680, 4 398, 2 581, 2 023, 1 875, 1 288,  513,  488, 72 757
230,2015,   Mayotte*,1,175,B R, 3 342, 4 012, 4 704, 5 863, 7 573, 9 277, 10 201, 9 817, 8 300, 6 066, 3 821, 2 521, 2 134, 1 732,  986, 1 037, 81 386
231,2020,   Mayotte*,1,175,B R, 3 407, 4 004, 5 010, 7 547, 11 355, 13 533, 13 304, 12 573, 11 544, 9 809, 6 886, 4 299, 2 802, 2 202, 1 656, 1 609, 111 540
232,1990,   Mozambique,,508,B R, 17 900, 12 866, 9 374, 15 745, 26 975, 9 720, 6 245, 5 746, 4 261, 3 885, 2 956, 2 306, 1 582, 1 209,  668,  894, 122 332
233,1995,   Mozambique,,508,B R, 24 620, 17 696, 12 893, 21 656, 37 101, 13 369, 8 590, 7 903, 5 860, 5 344, 4 065, 3 172, 2 177, 1 662,  919, 1 229, 168 256
234,2000,   Mozambique,,508,B R, 25 589, 23 601, 17 715, 15 273, 23 308, 35 974, 14 831, 9 749, 8 223, 6 134, 5 119, 3 942, 2 750, 1 592, 1 001,  901, 195 702
235,2005,   Mozambique,,508,B R, 27 885, 23 679, 24 550, 30 243, 44 682, 30 087, 22 997, 18 717, 12 847, 10 177, 7 647, 5 686, 3 908, 2 311, 1 348, 1 930, 268 694
236,2010,   Mozambique,,508,B R, 29 399, 27 841, 25 476, 29 294, 33 200, 45 824, 32 178, 24 379, 19 122, 13 502, 10 305, 7 183, 4 679, 2 382, 1 014,  693, 306 471
237,2015,   Mozambique,,508,B R, 23 899, 26 275, 25 816, 27 535, 32 760, 36 735, 43 713, 30 543, 22 881, 18 166, 12 679, 9 224, 5 987, 3 345, 1 490,  746, 321 794
238,2020,   Mozambique,,508,B R, 24 309, 20 100, 21 827, 24 454, 31 145, 37 385, 38 307, 40 287, 29 238, 22 625, 17 383, 12 227, 8 699, 5 639, 3 221, 2 004, 338 850
239,1990,   Réunion*,2,638,B, 2 240, 5 260, 6 787, 5 201, 3 727, 5 407, 5 943, 5 991, 4 462, 3 682, 3 213, 2 117, 1 162,  744,  480,  794, 57 210
240,1995,   Réunion*,2,638,B, 2 983, 4 995, 8 022, 7 983, 5 946, 6 083, 7 558, 7 947, 6 961, 5 423, 4 592, 3 549, 2 183, 1 269,  814,  851, 77 159
241,2000,   Réunion*,2,638,B, 3 385, 7 947, 10 255, 10 424, 7 472, 8 537, 9 816, 9 894, 8 704, 7 183, 6 269, 4 129, 2 536, 1 623, 1 047, 1 457, 100 678
242,2005,   Réunion*,2,638,B, 3 869, 9 083, 11 721, 11 914, 8 540, 9 757, 11 219, 11 308, 9 948, 8 210, 7 165, 4 719, 2 898, 1 855, 1 196, 1 674, 115 076
243,2010,   Réunion*,2,638,B, 4 136, 9 710, 12 531, 12 737, 9 130, 10 431, 11 994, 12 089, 10 635, 8 777, 7 660, 5 045, 3 098, 1 983, 1 278, 1 795, 123 029
244,2015,   Réunion*,2,638,B, 4 276, 10 039, 12 956, 13 169, 9 440, 10 785, 12 401, 12 499, 10 996, 9 075, 7 920, 5 216, 3 203, 2 050, 1 321, 1 863, 127 209
245,2020,   Réunion*,2,638,B, 4 429, 10 398, 13 420, 13 641, 9 778, 11 171, 12 845, 12 947, 11 390, 9 400, 8 203, 5 402, 3 317, 2 123, 1 368, 1 937, 131 769
246,1990,   Rwanda,,646,B R, 12 499, 12 284, 12 212, 12 738, 16 903, 19 140, 17 729, 14 514, 10 571, 7 726, 5 928, 4 451, 3 649, 3 297, 2 942, 3 441, 160 024
247,1995,   Rwanda,,646,B R, 14 304, 14 489, 14 619, 16 187, 25 077, 29 250, 26 968, 21 396, 16 630, 11 398, 8 223, 5 788, 4 276, 3 216, 2 274, 1 640, 215 735
248,2000,   Rwanda,,646,B R, 25 498, 25 609, 23 233, 27 813, 42 560, 46 159, 41 088, 32 628, 24 592, 17 857, 11 999, 10 107, 6 607, 5 112, 3 906, 2 308, 347 076
249,2005,   Rwanda,,646,B R, 30 737, 32 820, 29 423, 35 306, 52 612, 55 797, 48 968, 39 086, 29 502, 22 215, 14 993, 12 483, 7 515, 5 540, 3 897, 2 293, 423 187
250,2010,   Rwanda,,646,B R, 32 167, 34 290, 29 777, 36 716, 54 342, 57 038, 49 353, 39 015, 29 200, 22 137, 14 814, 11 903, 6 795, 4 699, 2 963, 1 692, 426 901
251,2015,   Rwanda,,646,B R, 43 557, 48 437, 41 216, 45 809, 65 573, 66 828, 55 301, 43 956, 32 693, 24 993, 16 897, 12 973, 6 844, 4 540, 2 782, 2 248, 514 647
252,2020,   Rwanda,,646,B R, 42 929, 49 331, 40 198, 46 995, 69 300, 68 991, 54 755, 42 968, 31 885, 24 494, 16 188, 12 155, 5 681, 3 531, 2 033, 2 473, 513 907
253,1990,   Seychelles,,690,B,  192,  189,  173,  131,  259,  455,  577,  515,  369,  243,  179,  158,  102,  71,  53,  55, 3 721
254,1995,   Seychelles,,690,B,  265,  261,  239,  182,  359,  630,  798,  713,  511,  337,  248,  218,  141,  95,  71,  80, 5 148
255,2000,   Seychelles,,690,B,  233,  292,  236,  232,  679,  897, 1 063,  886,  753,  457,  242,  179,  125,  119,  91,  90, 6 574
256,2005,   Seychelles,,690,B,  267,  335,  330,  325,  951, 1 255, 1 489, 1 240, 1 054,  641,  340,  251,  176,  133,  103,  107, 8 997
257,2010,   Seychelles,,690,B,  259,  325,  239,  317, 1 150, 1 691, 1 859, 1 775, 1 362,  989,  635,  315,  188,  125,  96,  95, 11 420
258,2015,   Seychelles,,690,B,  289,  371,  306,  360, 1 046, 1 707, 2 002, 1 985, 1 620, 1 190,  795,  452,  266,  160,  122,  120, 12 791
259,2020,   Seychelles,,690,B,  291,  307,  369,  334,  512, 1 184, 1 696, 1 898, 1 839, 1 542, 1 182,  796,  459,  274,  157,  210, 13 050
260,1990,   Somalia,,706,I R, 87 893, 62 658, 50 126, 37 481, 37 752, 44 753, 42 200, 37 416, 27 422, 17 679, 12 934, 7 509, 6 734, 2 211, 1 695, 1 831, 478 294
261,1995,   Somalia,,706,I R, 3 557, 2 532, 2 022, 1 523, 1 547, 1 835, 1 733, 1 541, 1 133,  733,  529,  312,  279,  97,  70,  84, 19 527
262,2000,   Somalia,,706,I R, 2 930, 1 998, 1 507, 1 416, 1 758, 2 111, 2 052, 1 935, 1 525, 1 055,  585,  467,  409,  136,  98,  115, 20 097
263,2005,   Somalia,,706,I R, 2 763, 2 199, 1 617, 1 500, 1 652, 1 971, 2 031, 1 934, 1 621, 1 222,  839,  593,  446,  164,  100,  116, 20 768
264,2010,   Somalia,,706,I R, 5 860, 5 362, 3 869, 3 552, 3 514, 4 164, 4 538, 4 362, 3 849, 3 093, 2 401, 1 591, 1 080,  378,  232,  261, 48 106
265,2015,   Somalia,,706,I R, 5 034, 4 532, 3 443, 3 004, 2 920, 3 348, 3 694, 3 638, 3 270, 2 684, 2 104, 1 452,  981,  385,  237,  264, 40 990
266,2020,   Somalia,,706,I R, 6 675, 5 572, 5 038, 4 322, 4 515, 4 832, 4 984, 4 826, 4 452, 4 053, 3 216, 2 468, 1 615, 1 080,  467,  475, 58 590
267,1990,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
268,1995,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
269,2000,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
270,2005,   South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
271,2010,   South Sudan,,728,B R, 22 071, 24 655, 23 077, 24 163, 22 680, 20 821, 17 030, 15 389, 13 557, 11 136, 10 728, 8 817, 7 057, 4 198, 2 575, 2 778, 230 732
272,2015,   South Sudan,,728,B R, 67 165, 73 397, 74 296, 75 658, 80 467, 84 154, 80 557, 72 429, 61 511, 49 494, 39 456, 33 019, 23 582, 12 724, 7 807, 8 396, 844 112
273,2020,   South Sudan,,728,B R, 70 199, 76 713, 77 652, 79 076, 84 102, 87 956, 84 196, 75 701, 64 290, 51 730, 41 238, 34 510, 24 647, 13 298, 8 159, 8 785, 882 252
274,1990,   Uganda,,800,B R, 48 731, 74 110, 41 894, 30 355, 29 880, 34 818, 37 926, 37 823, 38 159, 34 262, 37 010, 21 933, 24 030, 13 926, 16 247, 23 169, 544 273
275,1995,   Uganda,,800,B R, 62 975, 89 851, 55 755, 39 120, 41 780, 44 803, 43 119, 40 861, 40 417, 34 640, 36 643, 21 456, 21 068, 11 484, 11 641, 11 374, 606 987
276,2000,   Uganda,,800,B R, 63 651, 91 131, 56 533, 42 083, 45 512, 44 570, 40 118, 37 199, 36 695, 32 233, 33 435, 20 306, 17 584, 9 254, 8 359, 5 617, 584 280
277,2005,   Uganda,,800,B R, 72 624, 93 207, 58 424, 45 474, 49 879, 46 711, 40 081, 36 064, 34 733, 31 067, 31 543, 19 355, 15 541, 8 028, 6 551, 4 026, 593 308
278,2010,   Uganda,,800,B R, 50 380, 74 044, 39 543, 38 542, 47 006, 43 794, 37 193, 32 226, 30 795, 28 059, 28 122, 16 598, 12 653, 5 908, 4 263, 3 804, 492 930
279,2015,   Uganda,,800,B R, 108 407, 145 756, 94 002, 73 370, 74 904, 68 072, 56 046, 48 508, 39 976, 35 447, 33 221, 19 849, 20 332, 12 116, 9 574, 11 595, 851 175
280,2020,   Uganda,,800,B R, 250 321, 355 372, 229 749, 154 141, 143 678, 131 351, 102 651, 91 888, 69 171, 58 827, 51 874, 32 171, 17 696, 11 209, 8 789, 11 425,1 720 313
281,1990,   United Republic of Tanzania*,,834,B R, 41 732, 44 312, 48 816, 52 632, 58 316, 60 295, 56 243, 45 182, 35 231, 28 742, 25 460, 22 505, 19 774, 14 831, 9 717, 10 237, 574 025
282,1995,   United Republic of Tanzania*,,834,B R, 80 410, 85 381, 94 059, 101 412, 112 364, 116 177, 108 370, 87 057, 67 883, 55 380, 49 056, 43 363, 38 100, 28 576, 18 722, 19 733,1 106 043
283,2000,   United Republic of Tanzania*,,834,B R, 70 585, 64 070, 67 334, 75 342, 83 136, 91 782, 94 127, 87 166, 69 670, 54 320, 43 847, 39 127, 34 184, 30 010, 22 625, 22 275, 949 600
284,2005,   United Republic of Tanzania*,,834,B R, 56 592, 52 003, 47 303, 51 650, 60 097, 66 406, 72 032, 72 489, 65 995, 52 860, 40 863, 33 111, 28 860, 25 004, 21 803, 24 085, 771 153
285,2010,   United Republic of Tanzania*,,834,B R, 22 984, 19 466, 18 417, 18 329, 21 287, 24 977, 27 158, 28 424, 27 530, 24 769, 19 715, 15 045, 11 883, 10 079, 8 509, 11 275, 309 847
286,2015,   United Republic of Tanzania*,,834,B R, 26 731, 21 958, 19 700, 23 333, 31 513, 37 574, 37 493, 34 881, 32 642, 29 919, 24 930, 19 244, 14 287, 10 751, 8 534, 11 077, 384 567
287,2020,   United Republic of Tanzania*,,834,B R, 29 612, 24 324, 21 823, 25 847, 34 909, 41 623, 41 534, 38 640, 36 160, 33 143, 27 617, 21 318, 15 826, 11 909, 9 453, 12 279, 426 017
288,1990,   Zambia,,894,B R, 19 993, 22 319, 25 690, 28 047, 29 425, 28 862, 26 373, 22 232, 18 359, 15 423, 13 074, 10 774, 7 575, 5 309, 2 401, 3 607, 279 463
289,1995,   Zambia,,894,B R, 17 480, 19 513, 22 461, 24 521, 25 726, 25 234, 23 058, 19 437, 16 051, 13 484, 11 430, 9 419, 6 622, 4 641, 2 099, 3 162, 244 338
290,2000,   Zambia,,894,B R, 26 098, 28 273, 31 950, 34 749, 36 584, 36 118, 32 607, 26 788, 21 597, 17 963, 15 402, 13 031, 9 119, 6 346, 2 828, 4 250, 343 703
291,2005,   Zambia,,894,B R, 15 069, 18 556, 23 123, 24 950, 26 455, 26 442, 24 424, 20 741, 17 134, 14 261, 12 091, 10 212, 7 275, 6 078, 2 429, 3 655, 252 895
292,2010,   Zambia,,894,B R, 7 012, 9 816, 13 487, 14 438, 15 417, 15 603, 14 744, 12 943, 10 956, 9 126, 7 651, 6 451, 4 677, 3 422, 1 683, 2 536, 149 962
293,2015,   Zambia,,894,B R, 5 292, 5 765, 7 614, 10 921, 13 322, 14 816, 14 355, 12 902, 11 066, 9 334, 7 497, 6 086, 4 951, 3 526, 2 513, 2 147, 132 107
294,2020,   Zambia,,894,B R, 8 780, 8 935, 9 272, 11 766, 16 676, 20 322, 21 022, 19 247, 16 825, 14 341, 11 663, 9 170, 6 919, 5 445, 3 801, 3 771, 187 955
295,1990,   Zimbabwe,,716,B R, 32 030, 37 326, 44 360, 50 025, 70 744, 83 573, 77 784, 57 224, 47 425, 37 517, 30 310, 23 140, 21 948, 10 604, 4 241, 6 370, 634 621
296,1995,   Zimbabwe,,716,B R, 21 764, 25 363, 30 142, 33 992, 48 070, 56 787, 52 854, 38 883, 32 225, 25 492, 20 595, 15 723, 14 913, 7 205, 2 881, 4 337, 431 226
